CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,09.04.2020,9261,69.58,4599,538,652,1193,264
Aragón,09.04.2020,3685,194.73,1765,261,385,718,136
Asturias,09.04.2020,1737,87.60,1018,94,110,340,32
Baleares,09.04.2020,1448,68.55,751,132,89,696,36
Canarias,09.04.2020,1834,48.76,730,140,92,359,72
Cantabria,09.04.2020,1619,163.15,720,71,98,214,47
CastillaLaMancha,09.04.2020,12489,447.94,2575,342,1322,1766,701
CastillayLeón,09.04.2020,10518,292.97,5523,338,1082,3242,460
Cataluña,09.04.2020,31043,253.43,20943,2507,3148,13063,1396
Ceuta,09.04.2020,84,87.29,9,4,4,7,0
CValenciana,09.04.2020,7964,95.21,3815,541,767,1772,309
Extremadura,09.04.2020,2273,122.13,958,99,283,381,89
Galicia,09.04.2020,6758,179.40,2094,155,231,910,220
Madrid,09.04.2020,43877,400.86,12853,1433,5800,21121,1427
Melilla,09.04.2020,93,62.44,40,3,2,16,0
Murcia,09.04.2020,1356,50.87,533,87,88,219,30
Navarra,09.04.2020,3575,330.78,1526,124,214,462,108
PaísVasco,09.04.2020,9806,265.43,5130,433,689,4514,354
LaRioja,09.04.2020,3026,641.10,997,69,182,1172,75
