CCAA,fecha,casos,IA,UCI,muertes
Andalucía,14.03.2020,269,,,2
Aragón,14.03.2020,80,,,7
Asturias,14.03.2020,92,,,1
Baleares,14.03.2020,28,,,1
Canarias,14.03.2020,90,,,1
Cantabria,14.03.2020,31,,,0
Castilla-LaMancha,14.03.2020,289,,,6
CastillayLeón,14.03.2020,223,,,3
Cataluña,14.03.2020,509,,,6
Ceuta,14.03.2020,0,,,0
C.Valenciana,14.03.2020,130,,,4
Extremadura,14.03.2020,66,,,2
Galicia,14.03.2020,115,,,0
Madrid,14.03.2020,2940,,,86
Melilla,14.03.2020,3,,,0
Murcia,14.03.2020,47,,,0
Navarra,14.03.2020,146,,,0
PaísVasco,14.03.2020,417,,,14
LaRioja,14.03.2020,278,,,3
