CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,29.03.2020,4682,50.45,2294,201,207,148,405
Aragón,29.03.2020,1858,129.69,835,124,93,8,266
Asturias,29.03.2020,1088,92.98,466,57,41,76,84
Baleares,29.03.2020,958,79.69,345,71,29,82,96
Canarias,29.03.2020,1125,47.18,425,78,39,30,100
Cantabria,29.03.2020,1023,167.28,449,40,26,25,86
CastillaLaMancha,29.03.2020,5246,238.33,3018,299,539,236,734
CastillayLeón,29.03.2020,5414,213.46,2408,278,380,752,623
Cataluña,29.03.2020,15026,186.46,10688,1391,1226,3455,763
Ceuta,29.03.2020,21,23.59,2,2,1,0,4
CValenciana,29.03.2020,4784,87.43,1874,309,267,161,750
Extremadura,29.03.2020,1456,127.47,313,41,100,51,62
Galicia,29.03.2020,3139,109.06,1043,123,60,153,367
Madrid,29.03.2020,22677,287.14,14454,1429,3082,7491,1157
Melilla,29.03.2020,48,46.25,24,2,1,0,3
Murcia,29.03.2020,872,53.62,260,58,20,16,70
Navarra,29.03.2020,2011,279.42,896,90,84,125,182
PaísVasco,29.03.2020,5740,231.45,3106,271,265,1503,604
LaRioja,29.03.2020,1629,419.51,497,43,68,397,193
