CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,15.05.2020,12401,42,0.34,4.04,6146,18,754,3,1344,8
Aragón,15.05.2020,5432,43,0.80,23.95,2637,12,266,1,837,1
Asturias,15.05.2020,2359,3,0.13,4.69,2268,16,152,1,310,2
Baleares,15.05.2020,1967,9,0.46,6.35,1136,5,171,0,216,0
Canarias,15.05.2020,2280,5,0.22,3.44,938,1,178,0,151,0
Cantabria,15.05.2020,2263,7,0.31,13.60,1031,1,79,0,206,1
CastillaLaMancha,15.05.2020,16513,43,0.26,29.66,9001,21,635,1,2870,18
CastillayLeón,15.05.2020,18272,99,0.54,53.30,8595,35,548,0,1930,5
Cataluña,15.05.2020,55464,151,0.27,44.85,29382,77,3050,2,5882,59
Ceuta,15.05.2020,116,0,0.00,17.69,11,0,4,0,4,0
CValenciana,15.05.2020,10813,29,0.27,9.31,5415,26,721,4,1358,9
Extremadura,15.05.2020,2933,10,0.34,11.43,1772,11,109,0,494,2
Galicia,15.05.2020,9323,6,0.06,17.60,2921,6,332,5,601,0
Madrid,15.05.2020,66005,49,0.07,38.18,42057,95,3574,10,8809,30
Melilla,15.05.2020,119,0,0.00,4.62,44,0,3,0,2,0
Murcia,15.05.2020,1534,2,0.13,3.08,675,3,112,0,143,1
Navarra,15.05.2020,5116,11,0.22,40.97,2045,0,136,1,500,2
PaísVasco,15.05.2020,13257,38,0.29,19.61,7009,15,578,1,1454,0
LaRioja,15.05.2020,4016,2,0.05,25.25,1488,4,91,0,348,0
