CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,10.04.2020,9510,67.94,4715,582,691,1437,249
Aragón,10.04.2020,3831,188.97,1822,263,409,797,146
Asturias,10.04.2020,1799,87.90,1083,100,121,372,62
Baleares,10.04.2020,1488,63.77,777,136,97,737,40
Canarias,10.04.2020,1858,45.51,738,141,94,386,24
Cantabria,10.04.2020,1659,146.11,747,73,102,265,40
CastillaLaMancha,10.04.2020,13063,449.07,2359,329,1431,1982,574
CastillayLeón,10.04.2020,11102,290.47,5674,332,1129,3506,584
Cataluña,10.04.2020,31824,246.04,21530,2582,3231,13513,781
Ceuta,10.04.2020,91,87.29,9,4,4,12,7
CValenciana,10.04.2020,8331,95.91,3987,561,796,2085,367
Extremadura,10.04.2020,2332,103.12,1003,101,288,397,59
Galicia,10.04.2020,6946,171.29,2165,151,243,997,188
Madrid,10.04.2020,44783,383.29,12432,1399,5972,22414,906
Melilla,10.04.2020,95,61.28,41,3,2,17,2
Murcia,10.04.2020,1383,44.78,533,88,90,255,27
Navarra,10.04.2020,3748,322.07,1620,124,218,560,173
PaísVasco,10.04.2020,10103,249.21,5290,442,729,4680,297
LaRioja,10.04.2020,3076,580.81,1047,71,196,1256,50
