CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,14.04.2020,10192,51.98,5054,631,836,2032,5
Aragón,14.04.2020,4245,149.55,1966,280,492,963,58
Asturias,14.04.2020,2051,79.68,1330,111,156,458,93
Baleares,14.04.2020,1571,43.67,826,145,118,871,21
Canarias,14.04.2020,1958,32.32,771,147,102,589,14
Cantabria,14.04.2020,1796,107.56,853,76,120,323,19
CastillaLaMancha,14.04.2020,14329,388.86,7830,486,1714,2943,275
CastillayLeón,14.04.2020,13180,290.43,6175,308,1299,4266,552
Cataluña,14.04.2020,35197,213.99,23126,2775,3666,15967,471
Ceuta,14.04.2020,96,73.13,9,4,4,22,1
CValenciana,14.04.2020,9213,74.04,4397,581,907,3069,153
Extremadura,14.04.2020,2684,98.90,1114,108,334,578,26
Galicia,14.04.2020,7597,131.80,2403,133,290,1240,103
Madrid,14.04.2020,48048,308.24,10753,1299,6568,26247,902
Melilla,14.04.2020,101,54.34,43,3,2,18,0
Murcia,14.04.2020,1487,34.34,566,96,106,476,24
Navarra,14.04.2020,4150,282.02,1705,124,249,730,58
PaísVasco,14.04.2020,11226,222.21,5679,470,859,5193,208
LaRioja,14.04.2020,3420,508.21,1152,74,234,1519,62
