CCAA,fecha,casos,IA,UCI,muertes
Andalucía,10.03.2020,71,0.84,1,0
Aragón,10.03.2020,38,2.88,3,3
Asturias,10.03.2020,22,2.15,2,0
Baleares,10.03.2020,13,1.13,1,0
Canarias,10.03.2020,25,1.16,1,0
Cantabria,10.03.2020,12,2.07,0,0
CastillaLaMancha,10.03.2020,39,1.92,2,0
CastillayLeón,10.03.2020,56,2.33,2,0
Cataluña,10.03.2020,124,1.62,0,3
Ceuta,10.03.2020,0,0.00,0,0
CValenciana,10.03.2020,50,1.00,1,1
Extremadura,10.03.2020,8,0.75,0,0
Galicia,10.03.2020,22,0.81,2,0
Madrid,10.03.2020,782,11.74,77,21
Melilla,10.03.2020,0,0.00,0,0
Murcia,10.03.2020,9,0.60,0,0
Navarra,10.03.2020,12,1.83,2,0
PaísVasco,10.03.2020,195,8.83,5,6
LaRioja,10.03.2020,144,45.45,1,1
