CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,10.05.2020,12315,17,0.14,6.94,6080,11,745,0,1320,3
Aragón,10.05.2020,5316,25,0.47,27.36,2588,5,263,0,824,1
Asturias,10.05.2020,2343,1,0.04,7.92,2185,19,147,2,295,2
Baleares,10.05.2020,1950,6,0.31,8.35,1141,0,169,0,209,2
Canarias,10.05.2020,2258,8,0.36,4.23,935,0,178,0,148,0
Cantabria,10.05.2020,2244,3,0.13,27.71,1028,5,79,0,201,0
CastillaLaMancha,10.05.2020,16343,65,0.40,36.11,8895,28,623,2,2759,21
CastillayLeón,10.05.2020,17917,110,0.62,70.64,8468,74,546,0,1897,12
Cataluña,10.05.2020,52086,151,0.29,68.73,28784,97,2991,8,5532,25
Ceuta,10.05.2020,110,0,0.00,11.80,11,0,4,0,4,0
CValenciana,10.05.2020,10713,52,0.49,11.05,5354,37,716,7,1323,8
Extremadura,10.05.2020,2912,5,0.17,16.48,1711,16,109,0,480,3
Galicia,10.05.2020,9253,37,0.40,32.15,2886,10,325,2,592,1
Madrid,10.05.2020,64787,73,0.11,51.97,41559,123,3520,12,8644,46
Melilla,10.05.2020,119,0,0.00,10.41,44,0,3,0,2,0
Murcia,10.05.2020,1508,2,0.13,2.28,662,0,113,0,139,1
Navarra,10.05.2020,5052,13,0.26,51.97,2023,2,135,0,488,1
PaísVasco,10.05.2020,13156,45,0.34,31.75,6902,37,571,3,1418,15
LaRioja,10.05.2020,4008,8,0.20,46.40,1474,1,91,0,346,2
