CCAA,fecha,casos,IA,UCI,muertes
Andalucía,9.03.2020,54,0.64,1,0
Aragón,9.03.2020,13,0.99,1,1
Asturias,9.03.2020,7,0.68,2,0
Baleares,9.03.2020,11,0.96,0,0
Canarias,9.03.2020,22,1.02,0,0
Cantabria,9.03.2020,12,2.07,0,0
CastillaLaMancha,9.03.2020,26,1.28,2,0
CastillayLeón,9.03.2020,23,0.96,1,0
Cataluña,9.03.2020,75,0.98,0,1
Ceuta,9.03.2020,0,0.00,0,0
C.Valenciana,9.03.2020,37,0.74,1,1
Extremadura,9.03.2020,7,0.66,0,0
Galicia,9.03.2020,6,0.22,0,0
Madrid,9.03.2020,469,7.04,53,8
Melilla,9.03.2020,0,0.00,0,0
Murcia,9.03.2020,4,0.27,0,0
Navarra,9.03.2020,3,0.46,1,0
PaísVasco,9.03.2020,149,6.75,5,5
LaRioja,9.03.2020,81,25.57,1,0
