CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,25.03.2020,3010,34.57,1433,116,113,71,539
Aragón,25.03.2020,907,65.09,459,75,40,4,149
Asturias,25.03.2020,779,73.24,263,29,25,35,117
Baleares,25.03.2020,562,45.55,164,40,13,28,84
Canarias,25.03.2020,657,27.92,235,43,21,15,100
Cantabria,25.03.2020,510,85.57,241,18,14,12,85
CastillaLaMancha,25.03.2020,2780,132.90,2162,210,263,71,315
CastillayLeón,25.03.2020,2940,119.40,1244,170,165,213,480
Cataluña,25.03.2020,9937,128.54,5434,781,516,1274,2073
Ceuta,25.03.2020,9,10.66,2,1,0,0,3
CValenciana,25.03.2020,2616,51.03,1071,198,143,44,449
Extremadura,25.03.2020,742,68.97,209,28,39,8,106
Galicia,25.03.2020,1653,59.95,412,69,27,25,238
Madrid,25.03.2020,14597,203.02,11153,1150,1825,3031,2245
Melilla,25.03.2020,38,45.08,14,2,0,0,10
Murcia,25.03.2020,477,31.18,127,33,5,4,92
Navarra,25.03.2020,1197,176.39,506,51,33,23,183
PaísVasco,25.03.2020,3271,139.60,1577,119,155,466,543
LaRioja,25.03.2020,928,238.17,254,33,37,43,126
