CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,11.04.2020,9712,64.59,4808,602,737,1630,202
Aragón,11.04.2020,3969,180.17,1860,266,425,888,138
Asturias,11.04.2020,1827,80.47,1147,105,128,414,28
Baleares,11.04.2020,1507,56.11,778,137,102,757,19
Canarias,11.04.2020,1887,40.03,745,144,95,432,29
Cantabria,11.04.2020,1719,134.58,773,75,107,281,60
CastillaLaMancha,11.04.2020,13456,439.97,2198,316,1483,2205,393
CastillayLeón,11.04.2020,11543,281.39,5817,327,1180,3757,441
Cataluña,11.04.2020,32984,243.91,21921,2629,3331,14258,1160
Ceuta,11.04.2020,93,89.65,9,4,4,17,2
CValenciana,11.04.2020,8578,90.81,4132,565,818,2289,247
Extremadura,11.04.2020,2486,102.27,1052,104,303,462,154
Galicia,11.04.2020,7176,163.14,2215,144,261,1082,230
Madrid,11.04.2020,45849,365.11,11894,1376,6084,23663,1066
Melilla,11.04.2020,98,61.28,43,3,2,18,3
Murcia,11.04.2020,1413,40.90,533,88,94,275,30
Navarra,11.04.2020,3817,303.88,1641,124,227,603,69
PaísVasco,11.04.2020,10515,243.64,5402,453,765,4741,412
LaRioja,11.04.2020,3223,564.08,1082,73,207,1337,147
