CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,05.05.2020,12210,16,0.13,13.14,5983,10,738,0,1267,4
Aragón,05.05.2020,5207,19,0.37,39.64,2539,13,260,0,770,8
Asturias,05.05.2020,2308,2,0.09,11.34,2046,32,142,0,284,0
Baleares,05.05.2020,1910,2,0.10,12.44,1110,8,168,1,198,1
Canarias,05.05.2020,2231,6,0.27,6.78,920,1,176,1,142,1
Cantabria,05.05.2020,2207,1,0.05,35.97,1015,4,79,0,198,1
CastillaLaMancha,05.05.2020,16080,30,0.19,56.28,8725,27,609,3,2616,26
CastillayLeón,05.05.2020,17429,95,0.55,103.27,8153,30,537,3,1832,14
Cataluña,05.05.2020,50771,405,0.80,99.79,27745,424,2856,9,5270,50
Ceuta,05.05.2020,101,0,0.00,9.44,10,0,4,0,4,0
CValenciana,05.05.2020,10500,64,0.61,14.99,5214,10,701,1,1279,10
Extremadura,05.05.2020,2852,3,0.11,14.99,1629,11,108,0,462,2
Galicia,05.05.2020,9051,40,0.44,50.90,2792,10,317,2,573,4
Madrid,05.05.2020,62989,143,0.23,67.02,40851,110,3442,11,8420,44
Melilla,05.05.2020,119,0,0.00,16.19,44,0,3,0,2,0
Murcia,05.05.2020,1496,4,0.27,3.41,650,5,111,1,136,2
Navarra,05.05.2020,4936,18,0.37,70.47,1995,5,134,1,471,5
PaísVasco,05.05.2020,12965,13,0.10,50.82,6736,17,556,2,1353,12
LaRioja,05.05.2020,3967,6,0.15,89.33,1452,3,90,2,336,1
