CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,13.05.2020,12317,24,0.20,5.13,6114,13,750,5,1332,6
Aragón,13.05.2020,5372,13,0.24,25.01,2614,8,265,1,829,1
Asturias,13.05.2020,2356,5,0.21,6.55,2239,27,151,1,307,3
Baleares,13.05.2020,1957,4,0.20,6.79,1132,5,172,2,215,5
Canarias,13.05.2020,2271,3,0.13,3.20,937,0,178,0,151,0
Cantabria,13.05.2020,2256,10,0.45,18.93,1029,2,79,0,205,2
CastillaLaMancha,13.05.2020,16453,22,0.13,32.86,8963,23,632,3,2835,24
CastillayLeón,13.05.2020,18105,57,0.32,58.97,8517,24,547,0,1919,5
Cataluña,13.05.2020,55280,136,0.25,50.96,29267,129,3034,39,5692,71
Ceuta,13.05.2020,114,0,0.00,15.33,11,0,4,0,4,0
CValenciana,13.05.2020,10760,20,0.19,10.47,5370,10,717,0,1341,5
Extremadura,13.05.2020,2919,0,0.00,14.52,1754,17,109,0,489,2
Galicia,13.05.2020,9301,10,0.11,23.19,2905,0,327,1,597,2
Madrid,13.05.2020,65269,75,0.12,39.74,41856,121,3555,12,8760,40
Melilla,13.05.2020,119,0,0.00,5.78,44,0,3,0,2,0
Murcia,13.05.2020,1525,8,0.53,3.01,666,1,112,0,142,3
Navarra,13.05.2020,5094,13,0.26,45.86,2042,3,135,0,494,1
PaísVasco,13.05.2020,13214,38,0.29,26.95,6955,26,575,1,1442,13
LaRioja,13.05.2020,4009,1,0.02,31.25,1481,3,91,0,348,1
