CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,07.04.2020,8767,74.83,4335,499,528,900,186
Aragón,07.04.2020,3449,203.97,1663,247,312,578,102
Asturias,07.04.2020,1679,99.43,889,91,96,244,33
Baleares,07.04.2020,1369,77.51,705,124,84,537,49
Canarias,07.04.2020,1725,54.24,689,137,89,186,76
Cantabria,07.04.2020,1501,185.17,677,66,85,129,18
CastillaLaMancha,07.04.2020,11077,423.64,2908,360,1177,1353,475
CastillayLeón,07.04.2020,9581,296.76,5180,346,982,2711,465
Cataluña,07.04.2020,28323,266.56,19745,2391,2908,10738,1499
Ceuta,07.04.2020,83,90.83,9,4,4,2,0
CValenciana,07.04.2020,7443,105.44,1887,384,672,1103,109
Extremadura,07.04.2020,2116,138.61,686,70,258,282,48
Galicia,07.04.2020,6331,182.11,1968,162,204,688,180
Madrid,07.04.2020,40469,421.96,13950,1494,5371,18410,1746
Melilla,07.04.2020,92,74.00,40,3,2,11,6
Murcia,07.04.2020,1283,60.11,500,84,78,193,24
Navarra,07.04.2020,3355,357.83,1488,124,202,421,124
PaísVasco,07.04.2020,9021,285.04,4856,417,586,3728,211
LaRioja,07.04.2020,2846,645.21,918,66,160,994,127
