CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,11.05.2020,12341,26,0.21,6.35,6092,12,745,0,1322,2
Aragón,11.05.2020,5336,20,0.38,26.61,2595,7,263,0,825,1
Asturias,11.05.2020,2346,3,0.13,8.02,2197,12,149,2,299,4
Baleares,11.05.2020,1953,3,0.15,8.18,1126,0,169,0,209,0
Canarias,11.05.2020,2260,2,0.09,3.81,936,1,178,0,149,1
Cantabria,11.05.2020,2245,1,0.04,24.27,1027,0,79,0,201,0
CastillaLaMancha,11.05.2020,16387,44,0.27,35.57,8918,23,624,1,2786,27
CastillayLeón,11.05.2020,17995,78,0.44,66.30,8482,14,547,1,1905,8
Cataluña,11.05.2020,54807,83,0.16,57.51,28820,36,2995,4,5555,23
Ceuta,11.05.2020,110,0,0.00,11.80,11,0,4,0,4,0
CValenciana,11.05.2020,10729,16,0.15,10.97,5355,1,716,0,1330,7
Extremadura,11.05.2020,2918,6,0.21,15.83,1725,14,109,0,483,3
Galicia,11.05.2020,9280,27,0.29,30.86,2902,16,326,1,593,1
Madrid,11.05.2020,64853,31,0.05,50.81,41650,91,3529,9,8683,39
Melilla,11.05.2020,119,0,0.00,10.41,44,0,3,0,2,0
Murcia,11.05.2020,1517,9,0.60,2.88,665,3,113,0,139,0
Navarra,11.05.2020,5065,13,0.26,50.75,2029,6,135,0,490,2
PaísVasco,11.05.2020,13167,11,0.08,29.62,6922,20,573,2,1423,5
LaRioja,11.05.2020,4008,0,0.00,36.62,1475,1,91,0,346,0
