CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,30.03.2020,5405,57.65,2671,216,236,155,723
Aragón,30.03.2020,2078,144.32,1094,156,106,174,220
Asturias,30.03.2020,1158,95.91,479,60,49,78,70
Baleares,30.03.2020,1000,80.65,353,80,37,100,42
Canarias,30.03.2020,1204,50.39,444,84,40,32,79
Cantabria,30.03.2020,1100,179.32,481,46,27,24,77
CastillaLaMancha,30.03.2020,5858,260.27,3134,302,622,252,612
CastillayLeón,30.03.2020,5801,227.83,2540,307,442,871,387
Cataluña,30.03.2020,16157,198.74,11769,1512,1410,4125,1131
Ceuta,30.03.2020,25,28.31,2,2,1,0,4
CValenciana,30.03.2020,5110,93.95,2042,336,310,185,326
Extremadura,30.03.2020,1560,135.71,353,43,106,60,104
Galicia,30.03.2020,3723,128.84,1147,134,66,168,584
Madrid,30.03.2020,24090,299.02,14917,1460,3392,8301,1413
Melilla,30.03.2020,51,49.72,27,3,1,0,3
Murcia,30.03.2020,939,57.70,265,58,25,17,67
Navarra,30.03.2020,2146,286.14,955,96,102,161,135
PaísVasco,30.03.2020,6057,245.81,3427,293,297,1646,317
LaRioja,30.03.2020,1733,448.55,517,43,71,431,104
