CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,06.05.2020,12236,26,0.21,11.90,6012,29,740,2,1281,14
Aragón,06.05.2020,5231,24,0.46,35.63,2552,13,260,0,788,18
Asturias,06.05.2020,2310,2,0.09,8.99,2081,35,142,0,287,3
Baleares,06.05.2020,1921,11,0.58,11.57,1122,12,168,0,199,1
Canarias,06.05.2020,2231,0,0.00,6.36,920,0,176,0,143,1
Cantabria,06.05.2020,2213,6,0.27,34.59,1018,3,79,0,199,1
CastillaLaMancha,06.05.2020,16144,64,0.40,53.67,8765,40,612,3,2647,31
CastillayLeón,06.05.2020,17520,91,0.52,99.14,8246,93,538,1,1847,15
Cataluña,06.05.2020,50924,153,0.30,92.79,28085,340,2871,15,5345,75
Ceuta,06.05.2020,109,8,7.92,10.62,10,0,4,0,4,0
CValenciana,06.05.2020,10537,37,0.35,14.23,5225,11,701,0,1291,12
Extremadura,06.05.2020,2865,13,0.46,16.20,1650,21,108,0,463,1
Galicia,06.05.2020,9097,46,0.51,46.45,2811,19,319,2,582,9
Madrid,06.05.2020,63416,116,0.18,63.48,41031,180,3465,23,8466,46
Melilla,06.05.2020,119,0,0.00,16.19,44,0,3,0,2,0
Murcia,06.05.2020,1498,2,0.13,2.88,650,0,111,0,136,0
Navarra,06.05.2020,4966,30,0.61,66.49,2005,10,135,1,476,5
PaísVasco,06.05.2020,13008,43,0.33,46.83,6781,45,559,3,1364,11
LaRioja,06.05.2020,3980,13,0.33,87.12,1458,6,91,1,337,1
