CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,28.03.2020,4277,47.63,2106,172,175,139,484
Aragón,28.03.2020,1592,111.50,835,124,58,8,254
Asturias,28.03.2020,1004,89.17,408,50,33,65,104
Baleares,28.03.2020,862,72.56,283,59,26,80,107
Canarias,28.03.2020,1025,43.42,377,68,36,25,147
Cantabria,28.03.2020,937,155.92,406,37,22,21,127
CastillaLaMancha,28.03.2020,4512,207.74,2977,289,448,197,578
CastillayLeón,28.03.2020,4791,190.37,2063,249,321,585,659
Cataluña,28.03.2020,14263,179.20,9900,1324,1070,3106,1323
Ceuta,28.03.2020,17,20.05,2,2,1,0,0
CValenciana,28.03.2020,4034,78.02,1694,282,234,92,502
Extremadura,28.03.2020,1394,124.38,312,40,88,49,163
Galicia,28.03.2020,2772,98.43,906,112,47,95,450
Madrid,28.03.2020,21520,278.84,14211,1404,2757,6326,2277
Melilla,28.03.2020,45,48.56,22,2,1,0,3
Murcia,28.03.2020,802,50.54,231,58,17,12,88
Navarra,28.03.2020,1829,257.26,827,84,70,98,188
PaísVasco,28.03.2020,5136,209.03,2612,176,221,1023,535
LaRioja,28.03.2020,1436,365.53,458,43,65,364,200
