CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,26.03.2020,3406,38.96,1626,134,134,77,396
Aragón,26.03.2020,1116,79.43,562,93,48,4,209
Asturias,26.03.2020,841,77.84,300,34,27,40,62
Baleares,26.03.2020,660,53.23,205,43,17,39,98
Canarias,26.03.2020,784,33.01,279,45,24,18,127
Cantabria,26.03.2020,671,112.55,300,26,17,14,161
CastillaLaMancha,26.03.2020,3383,160.32,2162,243,316,95,603
CastillayLeón,26.03.2020,3488,141.33,1515,202,206,308,548
Cataluña,26.03.2020,11592,148.92,7439,1021,672,1697,1655
Ceuta,26.03.2020,10,11.84,2,2,0,0,1
CValenciana,26.03.2020,3200,62.50,1278,230,167,57,584
Extremadura,26.03.2020,969,89.39,241,34,58,24,227
Galicia,26.03.2020,1915,69.66,503,86,32,47,262
Madrid,26.03.2020,17166,236.00,12440,1221,2090,3882,2569
Melilla,26.03.2020,39,46.27,16,2,1,0,1
Murcia,26.03.2020,596,38.14,172,36,8,9,119
Navarra,26.03.2020,1411,205.05,649,54,49,35,214
PaísVasco,26.03.2020,3946,164.99,1907,137,180,621,675
LaRioja,26.03.2020,995,251.20,316,36,43,48,67
