CCAA,fecha,casos,IA,UCI,muertes
Andalucía,11.03.2020,90,1.07,3,0
Aragón,11.03.2020,45,3.41,3,4
Asturias,11.03.2020,32,3.13,2,0
Baleares,11.03.2020,16,1.39,1,0
Canarias,11.03.2020,37,1.49,1,0
Cantabria,11.03.2020,12,2.07,0,0
Castilla-LaMancha,11.03.2020,71,3.49,5,0
CastillayLeón,11.03.2020,71,2.96,2,0
Cataluña,11.03.2020,156,2.02,0,3
Ceuta,11.03.2020,0,0.00,0,0
C.Valenciana,11.03.2020,65,1.28,1,1
Extremadura,11.03.2020,9,0.84,1,0
Galicia,11.03.2020,39,1.44,2,0
Madrid,11.03.2020,1024,15.34,102,31
Melilla,11.03.2020,0,0.00,0,0
Murcia,11.03.2020,11,0.74,0,0
Navarra,11.03.2020,46,7.03,3,0
PaísVasco,11.03.2020,225,10.19,15,6
LaRioja,11.03.2020,179,56.50,1,2
