CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,02.04.2020,6972,70.88,3444,280,343,228,580
Aragón,02.04.2020,2700,183.36,1320,178,200,320,209
Asturias,02.04.2020,1384,106.77,640,79,69,135,62
Baleares,02.04.2020,1204,90.04,517,105,58,239,73
Canarias,02.04.2020,1444,56.84,566,113,68,94,64
Cantabria,02.04.2020,1268,203.93,567,57,60,60,55
CastillaLaMancha,02.04.2020,7682,338.49,3230,355,854,494,635
CastillayLeón,02.04.2020,7355,270.34,2709,353,641,1498,508
Cataluña,02.04.2020,21804,248.88,15489,1855,2093,6917,1813
Ceuta,02.04.2020,55,63.70,7,3,1,0,4
CValenciana,02.04.2020,6308,107.66,2189,379,443,432,386
Extremadura,02.04.2020,1837,149.48,412,62,181,139,158
Galicia,02.04.2020,4842,162.59,1447,165,120,333,410
Madrid,02.04.2020,32155,380.86,15227,1528,4175,12400,2315
Melilla,02.04.2020,62,45.09,32,3,1,0,0
Murcia,02.04.2020,1084,61.38,389,68,42,45,43
Navarra,02.04.2020,2682,336.28,1181,108,141,278,185
PaísVasco,02.04.2020,7317,277.52,4087,344,412,2490,479
LaRioja,02.04.2020,2083,509.79,660,57,101,641,123
