CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,27.03.2020,3793,42.48,1843,148,144,92,387
Aragón,27.03.2020,1338,95.35,693,114,58,8,222
Asturias,27.03.2020,900,81.44,339,47,29,52,59
Baleares,27.03.2020,755,63.25,237,46,22,67,95
Canarias,27.03.2020,878,37.52,328,61,27,20,94
Cantabria,27.03.2020,810,134.41,355,29,21,19,139
CastillaLaMancha,27.03.2020,3934,183.98,2707,273,367,153,551
CastillayLeón,27.03.2020,4132,165.16,1791,228,252,423,644
Cataluña,27.03.2020,12940,164.48,8545,1187,880,2348,1348
Ceuta,27.03.2020,17,20.05,2,2,0,0,7
CValenciana,27.03.2020,3532,68.71,1422,252,198,73,332
Extremadura,27.03.2020,1231,111.64,277,41,69,33,262
Galicia,27.03.2020,2322,82.87,557,98,43,67,407
Madrid,27.03.2020,19243,258.92,13580,1312,2412,5044,2077
Melilla,27.03.2020,42,46.25,18,2,1,0,3
Murcia,27.03.2020,714,45.45,209,53,15,12,118
Navarra,27.03.2020,1641,230.96,732,75,58,70,230
PaísVasco,27.03.2020,4601,189.51,2270,154,207,814,655
LaRioja,27.03.2020,1236,313.45,388,43,55,62,241
