CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,20.05.2020,12502,13,0.10,3.71,6196,14,764,4,1371,4
Aragón,20.05.2020,5551,31,0.56,24.26,2667,0,267,0,843,0
Asturias,20.05.2020,2374,1,0.04,4.69,1089,1,119,0,304,1
Baleares,20.05.2020,2018,13,0.65,8.61,1144,5,169,0,221,2
Canarias,20.05.2020,2300,6,0.26,3.20,943,1,179,1,155,0
Cantabria,20.05.2020,2277,4,0.18,11.01,1036,1,79,0,209,1
CastillaLaMancha,20.05.2020,16739,62,0.37,29.27,9122,40,639,1,2913,13
CastillayLeón,20.05.2020,18586,37,0.20,44.43,8734,5,555,4,1960,0
Cataluña,20.05.2020,55888,63,0.11,30.76,29497,38,2969,9,6021,40
Ceuta,20.05.2020,119,2,1.71,11.80,11,0,4,0,4,0
CValenciana,20.05.2020,10949,22,0.20,5.80,5742,4,727,0,1378,2
Extremadura,20.05.2020,3040,2,0.07,8.05,1780,1,110,0,504,0
Galicia,20.05.2020,9067,9,0.10,6.15,2939,4,334,2,607,0
Madrid,20.05.2020,66860,112,0.17,31.20,42422,72,3610,10,8912,18
Melilla,20.05.2020,121,0,0.00,2.31,44,0,3,0,2,0
Murcia,20.05.2020,1560,2,0.13,4.15,679,0,112,0,148,3
Navarra,20.05.2020,5136,5,0.10,33.17,2048,3,136,0,503,0
PaísVasco,20.05.2020,13435,26,0.19,14.81,7024,3,578,0,1480,10
LaRioja,20.05.2020,4033,6,0.15,16.73,1499,1,91,0,353,1
