CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,18.05.2020,12458,8,0.06,3.59,6178,4,761,1,1358,0
Aragón,18.05.2020,5503,25,0.46,23.88,2659,4,267,1,838,0
Asturias,18.05.2020,2369,3,0.13,5.38,2328,17,153,0,317,2
Baleares,18.05.2020,1993,2,0.10,7.57,1136,0,169,0,218,0
Canarias,18.05.2020,2294,5,0.22,3.20,942,3,178,0,153,2
Cantabria,18.05.2020,2271,3,0.13,11.19,1035,2,79,0,207,0
CastillaLaMancha,18.05.2020,16648,30,0.18,29.42,9066,12,637,0,2898,5
CastillayLeón,18.05.2020,18512,42,0.23,49.09,8717,27,551,1,1953,7
Cataluña,18.05.2020,55921,85,0.15,36.55,29421,21,2957,0,5956,12
Ceuta,18.05.2020,116,0,0.00,17.69,11,0,4,0,4,0
CValenciana,18.05.2020,10914,21,0.19,9.55,5469,15,725,2,1370,4
Extremadura,18.05.2020,2948,1,0.03,9.27,1775,0,110,0,500,0
Galicia,18.05.2020,9056,5,0.06,7.30,2934,8,332,0,607,1
Madrid,18.05.2020,66302,5,0.01,35.88,42283,56,3594,10,8863,16
Melilla,18.05.2020,121,0,0.00,2.31,44,0,3,0,2,0
Murcia,18.05.2020,1556,5,0.32,4.28,678,2,112,0,145,1
Navarra,18.05.2020,5178,30,0.58,39.74,2045,0,136,0,503,0
PaísVasco,18.05.2020,13422,15,0.11,16.76,7016,1,578,0,1466,7
LaRioja,18.05.2020,4024,0,0.00,19.89,1496,0,91,0,351,2
