CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,24.03.2020,2471,28.52,1132,102,87,66,510
Aragón,24.03.2020,758,54.57,384,66,37,3,120
Asturias,24.03.2020,662,62.57,224,23,22,30,68
Baleares,24.03.2020,478,40.45,127,35,10,19,78
Canarias,24.03.2020,557,24.71,207,36,16,8,76
Cantabria,24.03.2020,425,71.07,200,16,9,12,78
CastillaLaMancha,24.03.2020,2465,119.34,1826,182,216,53,387
CastillayLeón,24.03.2020,2460,100.19,1057,137,124,140,405
Cataluña,24.03.2020,7864,100.84,3599,551,282,728,1939
Ceuta,24.03.2020,6,7.08,0,0,0,0,0
CValenciana,24.03.2020,2167,42.31,917,161,115,37,266
Extremadura,24.03.2020,636,58.82,161,20,26,8,143
Galicia,24.03.2020,1415,51.60,338,55,20,19,207
Madrid,24.03.2020,12352,173.64,10443,1050,1535,2291,1777
Melilla,24.03.2020,28,32.37,12,1,0,0,0
Murcia,24.03.2020,385,25.17,99,26,3,1,40
Navarra,24.03.2020,1014,153.16,405,45,31,11,128
PaísVasco,24.03.2020,2728,114.73,1425,106,133,344,307
LaRioja,24.03.2020,802,207.70,206,24,30,24,55
