CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,05.04.2020,8301,78.15,4107,474,470,665,432
Aragón,05.04.2020,3232,204.66,1588,233,270,537,154
Asturias,05.04.2020,1605,103.64,808,90,80,216,83
Baleares,05.04.2020,1293,83.69,664,120,75,461,22
Canarias,05.04.2020,1622,56.10,644,129,80,137,58
Cantabria,05.04.2020,1441,199.46,639,62,68,113,57
CastillaLaMancha,05.04.2020,10031,403.96,2950,357,1055,1149,707
CastillayLeón,05.04.2020,8749,291.93,2574,351,847,2331,417
Cataluña,05.04.2020,26032,277.88,18656,2249,2637,9528,1298
Ceuta,05.04.2020,83,92.01,9,4,2,2,10
CValenciana,05.04.2020,7184,111.52,1901,381,613,812,283
Extremadura,05.04.2020,2047,155.75,417,66,218,215,68
Galicia,05.04.2020,5944,186.29,1831,170,174,587,319
Madrid,05.04.2020,37584,418.44,14551,1499,4941,16543,1335
Melilla,05.04.2020,83,67.06,38,3,2,11,4
Murcia,05.04.2020,1235,62.86,447,80,59,130,47
Navarra,05.04.2020,3073,348.36,1399,123,178,334,101
PaísVasco,05.04.2020,8628,295.82,4666,404,515,3405,441
LaRioja,05.04.2020,2592,611.75,855,66,134,904,187
