CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,nuevos
Andalucía,22.03.2020,1725,20.10,724,55,47,210
Aragón,22.03.2020,532,39.49,241,45,24,108
Asturias,22.03.2020,545,52.60,171,15,8,59
Baleares,22.03.2020,331,28.10,79,14,4,85
Canarias,22.03.2020,414,18.44,150,32,9,66
Cantabria,22.03.2020,282,46.47,116,9,5,67
CastillaLaMancha,22.03.2020,1819,88.74,838,76,112,396
CastillayLeón,22.03.2020,1744,71.76,709,106,74,278
Cataluña,22.03.2020,4704,60.65,1681,298,191,501
Ceuta,22.03.2020,5,5.90,0,0,0,0
CValenciana,22.03.2020,1604,31.32,590,113,69,241
Extremadura,22.03.2020,384,35.40,87,8,14,30
Galicia,22.03.2020,915,33.71,227,35,12,176
Madrid,22.03.2020,9702,142.98,8441,834,1021,781
Melilla,22.03.2020,25,28.91,12,1,0,0
Murcia,22.03.2020,296,19.75,78,16,1,56
Navarra,22.03.2020,794,120.91,288,30,14,130
PaísVasco,22.03.2020,2097,91.81,988,81,97,372
LaRioja,22.03.2020,654,189.08,134,17,18,90
