CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,06.04.2020,8581,78.68,4227,489,491,798,280
Aragón,06.04.2020,3347,205.34,1637,237,284,565,115
Asturias,06.04.2020,1646,102.85,846,90,86,222,41
Baleares,06.04.2020,1320,80.04,683,121,81,531,27
Canarias,06.04.2020,1649,54.24,651,133,85,157,27
Cantabria,06.04.2020,1483,195.50,658,65,77,118,42
CastillaLaMancha,06.04.2020,10602,419.31,2901,354,1132,1259,571
CastillayLeón,06.04.2020,9116,294.26,2508,348,919,2533,367
Cataluña,06.04.2020,26824,272.29,19143,2276,2760,10088,792
Ceuta,06.04.2020,83,90.83,9,4,3,2,0
CValenciana,06.04.2020,7334,108.58,1909,384,637,930,150
Extremadura,06.04.2020,2068,147.51,453,66,228,223,21
Galicia,06.04.2020,6151,183.11,1916,170,190,610,207
Madrid,06.04.2020,38723,422.43,14501,1510,5136,17322,1139
Melilla,06.04.2020,86,67.06,38,3,2,11,3
Murcia,06.04.2020,1259,61.18,468,81,68,156,24
Navarra,06.04.2020,3231,358.45,1432,124,187,380,158
PaísVasco,06.04.2020,8810,289.39,4794,410,548,3568,182
LaRioja,06.04.2020,2719,622.48,888,66,141,964,127
