CCAA,fecha,casos,IA,UCI,muertes
Andalucía,12.03.2020,115,1.35,4,0
Aragón,12.03.2020,64,4.85,3,6
Asturias,12.03.2020,47,4.60,2,1
Baleares,12.03.2020,22,1.83,2,1
Canarias,12.03.2020,51,2.09,3,0
Cantabria,12.03.2020,16,2.75,0,0
Castilla-LaMancha,12.03.2020,115,5.66,9,1
CastillayLeón,12.03.2020,92,3.83,4,0
Cataluña,12.03.2020,260,3.36,0,4
Ceuta,12.03.2020,0,0.00,0,0
CValenciana,12.03.2020,76,1.48,2,1
Extremadura,12.03.2020,19,1.78,1,1
Galicia,12.03.2020,35,1.30,2,0
Madrid,12.03.2020,1388,20.77,135,56
Melilla,12.03.2020,0,0.00,0,0
Murcia,12.03.2020,26,1.74,1,0
Navarra,12.03.2020,73,11.16,3,0
PaísVasco,12.03.2020,346,15.67,18,11
LaRioja,12.03.2020,205,64.71,1,2
