CCAA,fecha,casos,IA,UCI,muertes
Andalucía,19.03.2020,1008,11.84,25,23
Aragón,19.03.2020,281,21.22,14,15
Asturias,19.03.2020,292,28.06,6,1
Baleares,19.03.2020,169,14.18,7,2
Canarias,19.03.2020,220,9.84,23,3
Cantabria,19.03.2020,83,12.56,4,1
Castilla-LaMancha,19.03.2020,801,38.76,37,42
CastillayLeón,19.03.2020,868,35.72,54,29
Cataluña,19.03.2020,2702,34.89,33,55
Ceuta,19.03.2020,1,1.18,0,0
CValenciana,19.03.2020,921,18.03,52,24
Extremadura,19.03.2020,241,22.01,3,8
Galicia,19.03.2020,453,16.74,15,4
Madrid,19.03.2020,6777,100.35,590,498
Melilla,19.03.2020,23,26.59,0,0
Murcia,19.03.2020,167,11.18,6,0
Navarra,19.03.2020,482,73.22,11,4
PaísVasco,19.03.2020,1190,53.13,44,53
LaRioja,19.03.2020,468,144.26,15,5
