CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,15.04.2020,10595,49.95,5147,665,865,2224,289
Aragón,15.04.2020,4338,140,2006,282,514,1012,93
Asturias,15.04.2020,2096,75.67,1387,114,166,487,45
Baleares,15.04.2020,1606,41.32,857,149,125,881,35
Canarias,15.04.2020,1975,27.63,781,152,104,622,17
Cantabria,15.04.2020,1823,104.98,873,76,132,363,27
CastillaLaMancha,15.04.2020,14680,375.48,7896,495,1755,2998,351
CastillayLeón,15.04.2020,13697,285.47,6306,306,1337,4521,517
Cataluña,15.04.2020,36505,215.16,23372,2789,3756,16651,1308
Ceuta,15.04.2020,98,55.44,9,4,4,30,2
CValenciana,15.04.2020,9424,69.99,4465,588,945,3360,211
Extremadura,15.04.2020,2762,101.43,1155,109,342,615,78
Galicia,15.04.2020,7708,121.36,2471,128,299,1298,111
Madrid,15.04.2020,49526,295.44,10116,1244,6724,27433,1478
Melilla,15.04.2020,102,46.25,43,3,2,24,1
Murcia,15.04.2020,1520,32.06,574,97,109,513,33
Navarra,15.04.2020,4246,267.34,1731,124,252,808,96
PaísVasco,15.04.2020,11475,210.03,5750,471,902,5428,249
LaRioja,15.04.2020,3457,472.54,1182,75,246,1585,37
