CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,07.05.2020,12268,32,0.26,10.70,6027,15,744,4,1294,13
Aragón,07.05.2020,5258,27,0.52,32.21,2564,12,262,2,800,12
Asturias,07.05.2020,2326,16,0.69,9.48,2117,36,143,1,292,5
Baleares,07.05.2020,1929,8,0.42,10.61,1132,10,169,1,201,2
Canarias,07.05.2020,2235,4,0.18,5.67,921,1,176,0,144,1
Cantabria,07.05.2020,2220,7,0.32,33.90,1020,2,79,0,200,1
CastillaLaMancha,07.05.2020,16184,40,0.25,51.95,8796,31,613,1,2677,30
CastillayLeón,07.05.2020,17625,105,0.60,88.14,8300,54,541,3,1864,17
Cataluña,07.05.2020,51190,266,0.52,82.06,28248,163,2891,20,5394,49
Ceuta,07.05.2020,109,0,0.00,10.62,10,0,4,0,4,0
CValenciana,07.05.2020,10592,55,0.52,14.45,5252,27,704,3,1303,12
Extremadura,07.05.2020,2877,12,0.42,15.17,1664,14,108,0,467,4
Galicia,07.05.2020,9134,37,0.41,41.49,2833,22,320,1,586,4
Madrid,07.05.2020,63870,86,0.13,58.26,41159,128,3485,20,8504,38
Melilla,07.05.2020,119,0,0.00,15.03,44,0,3,0,2,0
Murcia,07.05.2020,1501,3,0.20,2.74,652,2,111,0,137,1
Navarra,07.05.2020,4983,17,0.34,62.06,2015,10,135,0,480,4
PaísVasco,07.05.2020,13041,33,0.25,42.89,6797,16,561,2,1383,19
LaRioja,07.05.2020,3986,6,0.15,77.34,1463,5,91,0,338,1
