CCAA,fecha,casos,IA,UCI,muertes
Andalucía,18.03.2020,859,10.07,21,19
Aragón,18.03.2020,226,17.13,9,13
Asturias,18.03.2020,242,23.46,5,1
Baleares,18.03.2020,112,9.31,4,1
Canarias,18.03.2020,181,8.08,17,3
Cantabria,18.03.2020,68,9.98,3,1
Castilla-LaMancha,18.03.2020,675,32.61,29,28
CastillayLeón,18.03.2020,668,27.38,43,22
Cataluña,18.03.2020,1866,24.12,33,41
Ceuta,18.03.2020,1,1.18,0,0
CValenciana,18.03.2020,726,14.13,40,22
Extremadura,18.03.2020,194,17.61,3,6
Galicia,18.03.2020,341,12.59,12,3
Madrid,18.03.2020,5637,83.55,491,390
Melilla,18.03.2020,20,23.12,0,0
Murcia,18.03.2020,122,8.17,4,0
Navarra,18.03.2020,386,58.54,10,3
PaísVasco,18.03.2020,973,43.30,37,40
LaRioja,18.03.2020,419,130.05,13,5
