CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,23.05.2020,12597,21,0.17,4.12,6229,14,766,0,1389,12
Aragón,23.05.2020,5627,9,0.16,25.47,2451,4,257,1,858,0
Asturias,23.05.2020,2377,1,0.04,3.23,1092,2,121,0,307,0
Baleares,23.05.2020,2039,2,0.10,8.61,1141,2,168,0,222,0
Canarias,23.05.2020,2321,9,0.39,3.30,942,0,179,0,157,0
Cantabria,23.05.2020,2287,3,0.13,7.92,1039,1,79,0,209,0
CastillaLaMancha,23.05.2020,16855,25,0.15,28.38,9178,21,641,1,2934,5
CastillayLeón,23.05.2020,18737,63,0.34,38.13,8749,4,557,0,1961,0
Cataluña,23.05.2020,57114,92,0.16,21.99,29497,0,2969,0,6663,7
Ceuta,23.05.2020,125,1,0.81,17.69,12,0,4,0,4,0
CValenciana,23.05.2020,11051,30,0.27,5.82,5738,0,733,2,1390,1
Extremadura,23.05.2020,3048,4,0.13,4.87,1782,2,110,0,507,1
Galicia,23.05.2020,9098,14,0.15,4.96,2952,5,335,1,610,1
Madrid,23.05.2020,67610,68,0.10,27.10,42632,59,3634,7,8956,12
Melilla,23.05.2020,121,0,0.00,2.31,44,0,3,0,2,0
Murcia,23.05.2020,1575,1,0.06,4.48,685,6,112,0,149,0
Navarra,23.05.2020,5205,5,0.10,25.37,2050,1,137,1,509,1
PaísVasco,23.05.2020,13467,13,0.10,12.86,7039,4,578,0,1494,7
LaRioja,23.05.2020,4036,0,0.00,11.36,1505,0,91,0,357,1
