CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,08.04.2020,8997,71.15,4463,520,605,1041,230
Aragón,08.04.2020,3549,200.26,1716,255,349,659,100
Asturias,08.04.2020,1705,90.54,958,91,102,294,26
Baleares,08.04.2020,1412,73.95,731,129,89,616,43
Canarias,08.04.2020,1762,51.31,703,138,91,249,37
Cantabria,08.04.2020,1572,182.76,700,69,92,175,71
CastillaLaMancha,08.04.2020,11788,443.12,2731,354,1255,1557,711
CastillayLeón,08.04.2020,10058,296.64,5322,342,1028,2988,477
Cataluña,08.04.2020,29647,256.80,20250,2442,3041,12250,1324
Ceuta,08.04.2020,84,88.47,9,4,4,7,1
CValenciana,08.04.2020,7655,100.70,1714,371,724,1344,212
Extremadura,08.04.2020,2184,135.06,898,98,271,328,68
Galicia,08.04.2020,6538,180.96,2014,158,213,800,207
Madrid,08.04.2020,42450,418.00,13289,1450,5586,19836,1981
Melilla,08.04.2020,93,63.59,40,3,2,12,1
Murcia,08.04.2020,1326,56.83,515,86,85,203,43
Navarra,08.04.2020,3467,346.98,1526,124,206,450,112
PaísVasco,08.04.2020,9452,279.96,4982,430,635,4151,431
LaRioja,08.04.2020,2951,638.58,955,68,177,1061,105
