CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,13.04.2020,10187,56.83,4993,621,815,1967,181
Aragón,13.04.2020,4187,159.86,1938,274,464,946,117
Asturias,13.04.2020,1958,78.22,1265,110,149,434,66
Baleares,13.04.2020,1550,47.85,811,143,117,862,16
Canarias,13.04.2020,1944,34.36,763,145,96,458,26
Cantabria,13.04.2020,1777,116.51,827,75,117,317,25
CastillaLaMancha,13.04.2020,14054,403.18,7782,475,1626,2532,356
CastillayLeón,13.04.2020,12628,284.51,6077,312,1263,4154,510
Cataluña,13.04.2020,34726,241.93,22780,2713,3538,15602,699
Ceuta,13.04.2020,95,82.57,9,4,4,20,2
CValenciana,13.04.2020,9060,78.94,4269,576,876,2803,219
Extremadura,13.04.2020,2658,102.84,1096,108,321,511,78
Galicia,13.04.2020,7494,139.69,2344,136,284,1186,158
Madrid,13.04.2020,47146,346.01,11233,1327,6423,25385,559
Melilla,13.04.2020,101,57.81,43,3,2,18,3
Murcia,13.04.2020,1463,35.08,543,94,101,353,14
Navarra,13.04.2020,4092,297.46,1693,124,239,695,123
PaísVasco,13.04.2020,11018,224.71,5622,464,831,5026,246
LaRioja,13.04.2020,3358,512.95,1141,73,223,1458,79
