CCAA,fecha,casos,IA,UCI,muertes
Andalucía,20.03.2020,1287,15.05,38,30
Aragón,20.03.2020,360,26.83,28,17
Asturias,20.03.2020,344,33.14,7,2
Baleares,20.03.2020,203,17.14,10,2
Canarias,20.03.2020,287,12.82,25,4
Cantabria,20.03.2020,144,23.06,7,1
Castilla-LaMancha,20.03.2020,1044,50.62,37,62
CastillayLeón,20.03.2020,1147,47.22,69,43
Cataluña,20.03.2020,3270,42.29,33,82
Ceuta,20.03.2020,5,5.90,0,0
CValenciana,20.03.2020,1105,21.48,71,33
Extremadura,20.03.2020,297,27.25,4,10
Galicia,20.03.2020,578,21.30,19,5
Madrid,20.03.2020,7165,105.47,678,628
Melilla,20.03.2020,24,27.75,1,0
Murcia,20.03.2020,204,13.66,11,0
Navarra,20.03.2020,554,84.22,19,5
PaísVasco,20.03.2020,1465,64.32,53,71
LaRioja,20.03.2020,497,147.73,15,7
