CCAA,fecha,casos,IA,UCI,muertes
Andalucía,17.03.2020,683,7.97,13,11
Aragón,17.03.2020,207,15.69,9,12
Asturias,17.03.2020,193,18.77,5,1
Baleares,17.03.2020,92,7.83,4,1
Canarias,17.03.2020,148,6.55,13,2
Cantabria,17.03.2020,58,8.26,2,0
Castilla-LaMancha,17.03.2020,567,27.55,23,17
CastillayLeón,17.03.2020,431,17.63,24,12
Cataluña,17.03.2020,1394,17.97,33,18
Ceuta,17.03.2020,1,1.18,0,0
CValenciana,17.03.2020,541,10.51,27,13
Extremadura,17.03.2020,153,13.77,2,3
Galicia,17.03.2020,292,10.82,9,3
Madrid,17.03.2020,4871,72.37,340,355
Melilla,17.03.2020,17,19.66,0,0
Murcia,17.03.2020,97,6.49,3,0
Navarra,17.03.2020,313,47.69,10,2
PaísVasco,17.03.2020,765,34.06,33,36
LaRioja,17.03.2020,355,111.11,13,5
