CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,curados,curadosNuevos
Andalucía,03.05.2020,12175,35,0.29,16.66,5961,0,736,1,1256,3,6897,76
Aragón,03.05.2020,5164,28,0.55,44.34,2519,16,260,0,761,0,2558,84
Asturias,03.05.2020,2305,2,0.09,14.67,1995,21,142,1,280,1,908,18
Baleares,03.05.2020,1908,6,0.32,15.49,1099,5,167,0,197,0,1284,16
Canarias,03.05.2020,2221,9,0.41,8.22,919,1,176,0,140,0,1150,1
Cantabria,03.05.2020,2205,4,0.18,53.69,1010,1,79,0,195,2,1616,65
CastillaLaMancha,03.05.2020,16017,50,0.31,81.41,8676,31,604,3,2565,31,5772,70
CastillayLeón,03.05.2020,17283,118,0.69,118.73,8085,31,533,2,1800,12,6856,43
Cataluña,03.05.2020,50234,384,0.77,129.08,27257,208,2844,33,5185,48,20332,419
Ceuta,03.05.2020,101,0,0.00,9.44,10,0,4,0,4,0,141,1
CValenciana,03.05.2020,10436,25,0.24,16.53,5181,28,698,3,1264,6,7447,160
Extremadura,03.05.2020,2844,20,0.71,15.08,1603,11,108,0,460,2,2072,55
Galicia,03.05.2020,8967,65,0.73,59.60,2774,5,315,2,563,6,6075,94
Madrid,03.05.2020,62205,19,0.03,76.81,40597,140,3421,17,8332,40,37704,174
Melilla,03.05.2020,117,2,1.74,12.72,44,0,3,0,2,0,98,2
Murcia,03.05.2020,1492,1,0.07,4.08,641,2,110,0,134,2,1260,9
Navarra,03.05.2020,4902,14,0.29,82.39,1986,7,133,1,462,2,2411,130
PaísVasco,03.05.2020,12938,51,0.40,60.42,6692,33,553,2,1329,8,12024,219
LaRioja,03.05.2020,3952,5,0.13,114.90,1446,7,88,0,335,1,2297,18
