CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,08.05.2020,12287,19,0.15,9.35,6038,11,742,0,1301,7
Aragón,08.05.2020,5274,16,0.30,30.85,2578,14,263,1,815,15
Asturias,08.05.2020,2336,10,0.43,8.70,2141,24,144,1,292,0
Baleares,08.05.2020,1935,6,0.31,9.92,1135,3,168,0,202,1
Canarias,08.05.2020,2240,5,0.22,4.64,927,6,176,0,148,4
Cantabria,08.05.2020,2232,12,0.54,30.46,1022,2,79,0,201,1
CastillaLaMancha,08.05.2020,16237,53,0.33,42.90,8828,32,617,4,2713,36
CastillayLeón,08.05.2020,17716,91,0.52,84.35,8357,57,543,2,1876,12
Cataluña,08.05.2020,51733,543,1.06,80.64,28608,360,2949,58,5471,77
Ceuta,08.05.2020,109,0,0.00,10.62,11,1,4,0,4,0
CValenciana,08.05.2020,10619,27,0.25,13.59,5287,35,706,2,1309,6
Extremadura,08.05.2020,2900,23,0.80,17.05,1678,14,109,1,472,5
Galicia,08.05.2020,9184,50,0.55,38.64,2857,24,321,1,588,2
Madrid,08.05.2020,64333,148,0.23,57.15,41304,145,3493,8,8552,48
Melilla,08.05.2020,119,0,0.00,13.87,44,0,3,0,2,0
Murcia,08.05.2020,1504,3,0.20,2.41,659,7,113,2,137,0
Navarra,08.05.2020,5006,23,0.46,64.96,2015,0,135,0,484,4
PaísVasco,08.05.2020,13101,60,0.46,40.63,6818,21,566,5,1390,7
LaRioja,08.05.2020,3992,6,0.15,63.76,1469,6,91,0,342,4
