CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,04.04.2020,7869,75.51,3896,364,426,463,495
Aragón,04.04.2020,3078,201.17,1505,190,251,440,189
Asturias,04.04.2020,1522,101.29,766,87,76,190,89
Baleares,04.04.2020,1271,89.17,634,114,71,422,14
Canarias,04.04.2020,1564,56.47,632,128,78,123,74
Cantabria,04.04.2020,1384,201.18,619,60,68,99,63
CastillaLaMancha,04.04.2020,9324,388.66,3133,360,989,657,801
CastillayLeón,04.04.2020,8332,286.14,2664,348,786,2021,457
Cataluña,04.04.2020,24734,267.50,17678,2108,2508,8635,1274
Ceuta,04.04.2020,73,80.21,8,4,1,2,11
CValenciana,04.04.2020,6901,110.68,1977,386,571,695,277
Extremadura,04.04.2020,1979,152.19,453,64,208,205,86
Galicia,04.04.2020,5625,181.00,1767,178,159,531,406
Madrid,04.04.2020,36249,410.12,14741,1498,4723,15362,2061
Melilla,04.04.2020,79,62.44,37,3,2,9,9
Murcia,04.04.2020,1188,63.46,434,79,51,113,43
Navarra,04.04.2020,2972,352.79,1341,120,171,311,136
PaísVasco,04.04.2020,8187,292.69,4522,377,477,3098,360
LaRioja,04.04.2020,2405,581.13,805,64,128,843,181
