CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,12.04.2020,10006,63.27,4950,619,799,1838,294
Aragón,12.04.2020,4070,167.67,1901,272,450,934,101
Asturias,12.04.2020,1892,78.61,1208,106,140,430,65
Baleares,12.04.2020,1534,50.11,805,142,112,848,27
Canarias,12.04.2020,1918,36.83,758,144,95,447,31
Cantabria,12.04.2020,1752,125.46,805,75,110,297,33
CastillaLaMancha,12.04.2020,13698,415.77,6838,316,1543,2365,242
CastillayLeón,12.04.2020,12118,279.39,5957,323,1221,4010,575
Cataluña,12.04.2020,34027,247.56,22369,2658,3442,14975,1043
Ceuta,12.04.2020,93,84.93,9,4,4,17,0
CValenciana,12.04.2020,8841,81.08,4149,567,838,2624,263
Extremadura,12.04.2020,2580,105.27,1074,106,312,481,94
Galicia,12.04.2020,7336,155.47,2306,140,274,1143,160
Madrid,12.04.2020,46587,358.83,11424,1332,6278,24683,738
Melilla,12.04.2020,98,57.81,43,3,2,18,0
Murcia,12.04.2020,1449,38.62,537,91,97,344,36
Navarra,12.04.2020,3969,299.29,1663,124,232,650,152
PaísVasco,12.04.2020,10772,227.92,5547,459,804,4867,257
LaRioja,12.04.2020,3279,520.84,1122,73,219,1420,56
