CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,09.05.2020,12298,11,0.09,7.55,6069,31,745,3,1317,16
Aragón,09.05.2020,5291,17,0.32,27.97,2583,5,263,0,823,8
Asturias,09.05.2020,2342,6,0.26,8.02,2166,25,145,1,293,1
Baleares,09.05.2020,1944,9,0.47,8.44,1141,6,169,1,207,5
Canarias,09.05.2020,2250,10,0.45,4.41,935,8,178,2,148,0
Cantabria,09.05.2020,2241,9,0.40,29.26,1023,1,79,0,201,0
CastillaLaMancha,09.05.2020,16278,41,0.25,37.83,8867,39,621,4,2738,25
CastillayLeón,09.05.2020,17807,91,0.51,75.72,8394,37,546,3,1885,9
Cataluña,09.05.2020,51935,202,0.39,73.93,28687,79,2983,34,5507,36
Ceuta,09.05.2020,110,1,0.92,11.80,11,0,4,0,4,0
CValenciana,09.05.2020,10661,42,0.40,11.89,5317,30,709,3,1315,6
Extremadura,09.05.2020,2907,7,0.24,17.70,1695,17,109,0,477,5
Galicia,09.05.2020,9216,32,0.35,33.01,2876,19,323,2,591,3
Madrid,09.05.2020,64523,73,0.11,51.76,41436,132,3508,15,8598,46
Melilla,09.05.2020,119,0,0.00,12.72,44,0,3,0,2,0
Murcia,09.05.2020,1506,2,0.13,2.54,662,3,113,0,138,1
Navarra,09.05.2020,5039,33,0.66,62.98,2021,6,135,0,487,3
PaísVasco,09.05.2020,13111,10,0.08,33.74,6865,47,568,2,1403,13
LaRioja,09.05.2020,4000,8,0.20,56.50,1473,4,91,0,344,2
