CCAA,fecha,casos,IA,Hospitalizados,UCI,muertes,curados,nuevos
Andalucía,23.03.2020,1961,22.66,865,77,58,50,236
Aragón,23.03.2020,638,47.37,298,52,32,3,106
Asturias,23.03.2020,594,57.39,194,22,12,21,49
Baleares,23.03.2020,400,33.84,87,27,10,18,69
Canarias,23.03.2020,481,21.32,172,32,11,7,67
Cantabria,23.03.2020,347,57.65,157,14,6,11,65
CastillaLaMancha,23.03.2020,2078,100.94,1547,142,145,51,259
CastillayLeón,23.03.2020,2055,84.68,860,120,102,117,311
Cataluña,23.03.2020,5925,76.22,1681,551,245,644,1221
Ceuta,23.03.2020,6,7.08,0,0,0,0,1
CValenciana,23.03.2020,1901,37.25,702,138,94,36,297
Extremadura,23.03.2020,493,45.52,131,13,18,6,109
Galicia,23.03.2020,1208,44.53,270,47,18,19,293
Madrid,23.03.2020,10575,151.66,9561,942,1263,2063,873
Melilla,23.03.2020,28,32.37,12,1,0,0,3
Murcia,23.03.2020,345,22.83,80,23,2,1,49
Navarra,23.03.2020,886,134.97,339,40,24,7,92
PaísVasco,23.03.2020,2421,102.91,1252,92,120,283,324
LaRioja,23.03.2020,747,210.23,166,22,22,18,93
