CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos
Andalucía,22.05.2020,12576,29,0.23,4.01,6215,5,767,1,1377,2
Aragón,22.05.2020,5618,30,0.54,26.07,2447,5,256,0,858,10
Asturias,22.05.2020,2376,2,0.08,3.72,1090,1,121,0,307,0
Baleares,22.05.2020,2037,13,0.64,9.22,1139,0,168,0,222,1
Canarias,22.05.2020,2312,5,0.22,3.34,943,0,179,0,155,0
Cantabria,22.05.2020,2284,5,0.22,8.95,1038,2,79,0,209,0
CastillaLaMancha,22.05.2020,16830,41,0.24,29.17,9157,19,640,1,2929,10
CastillayLeón,22.05.2020,18674,47,0.25,39.92,8745,5,557,2,1961,1
Cataluña,22.05.2020,57036,150,0.26,23.43,29497,0,2969,0,6656,3
Ceuta,22.05.2020,124,5,4.20,17.69,12,1,4,0,4,0
CValenciana,22.05.2020,11021,34,0.31,5.92,5747,0,731,1,1389,6
Extremadura,22.05.2020,3044,2,0.07,5.15,1780,0,110,0,506,1
Galicia,22.05.2020,9084,7,0.08,4.89,2947,4,334,0,609,1
Madrid,22.05.2020,67425,53,0.08,28.29,42573,76,3627,10,8944,13
Melilla,22.05.2020,121,0,0.00,2.31,44,0,3,0,2,0
Murcia,22.05.2020,1572,2,0.13,4.55,679,0,112,5,149,0
Navarra,22.05.2020,5200,5,0.10,29.65,2049,1,136,0,508,2
PaísVasco,22.05.2020,13454,13,0.10,14.81,7035,3,578,0,1487,4
LaRioja,22.05.2020,4036,3,0.07,13.89,1505,1,91,0,356,2
