CCAA,fecha,casos,IA,UCI,muertes
Andalucía,16.03.2020,554,6.44,11,7
Aragón,16.03.2020,174,13.19,7,11
Asturias,16.03.2020,177,17.21,3,1
Baleares,16.03.2020,73,6.18,4,1
Canarias,16.03.2020,119,5.20,9,1
Cantabria,16.03.2020,58,8.26,2,0
Castilla-LaMancha,16.03.2020,567,27.74,23,17
CastillayLeón,16.03.2020,334,13.79,24,9
Cataluña,16.03.2020,903,11.57,33,12
Ceuta,16.03.2020,1,1.18,0,0
CValenciana,16.03.2020,409,7.87,4,5
Extremadura,16.03.2020,111,9.83,1,2
Galicia,16.03.2020,245,9.08,9,2
Madrid,16.03.2020,4165,62.07,253,213
Melilla,16.03.2020,8,9.25,0,0
Murcia,16.03.2020,77,5.15,2,0
Navarra,16.03.2020,274,41.73,5,1
PaísVasco,16.03.2020,630,28.13,29,23
LaRioja,16.03.2020,312,98.17,13,4
