age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,02.04.2020,250,86,0.3,7,0.3,0,0.0,0.0,250,86,0.3,7,0.3,0,0.0,0.0,250,86,0.3,7,0.3,0,0.0,0.0
10-19,02.04.2020,434,72,0.2,3,0.1,1,0.0,0.2,434,72,0.2,3,0.1,1,0.0,0.2,434,72,0.2,3,0.1,1,0.0,0.2
20-29,02.04.2020,3590,546,1.7,29,1.2,6,0.1,0.2,3590,546,1.7,29,1.2,6,0.1,0.2,3590,546,1.7,29,1.2,6,0.1,0.2
30-39,02.04.2020,6853,1376,4.3,86,3.5,18,0.4,0.3,6853,1376,4.3,86,3.5,18,0.4,0.3,6853,1376,4.3,86,3.5,18,0.4,0.3
40-49,02.04.2020,10551,3039,9.5,215,8.7,49,1.1,0.5,10551,3039,9.5,215,8.7,49,1.1,0.5,10551,3039,9.5,215,8.7,49,1.1,0.5
50-59,02.04.2020,12722,4795,15.0,432,17.5,131,3.0,1.0,12722,4795,15.0,432,17.5,131,3.0,1.0,12722,4795,15.0,432,17.5,131,3.0,1.0
60-69,02.04.2020,11657,6511,20.3,779,31.6,373,8.6,3.2,11657,6511,20.3,779,31.6,373,8.6,3.2,11657,6511,20.3,779,31.6,373,8.6,3.2
70-79,02.04.2020,11368,8114,25.3,820,33.2,1176,27.0,10.3,11368,8114,25.3,820,33.2,1176,27.0,10.3,11368,8114,25.3,820,33.2,1176,27.0,10.3
80-89,02.04.2020,8857,5929,18.5,92,3.7,1879,43.1,21.2,8857,5929,18.5,92,3.7,1879,43.1,21.2,8857,5929,18.5,92,3.7,1879,43.1,21.2
90+,02.04.2020,2895,1563,4.9,6,0.2,728,16.7,25.1,2895,1563,4.9,6,0.2,728,16.7,25.1,2895,1563,4.9,6,0.2,728,16.7,25.1
