age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,29.03.2020,207,65,0.3,3,0.2,0,0.0,0.0,207,65,0.3,3,0.2,0,0.0,0.0,207,65,0.3,3,0.2,0,0.0,0.0
10-19,29.03.2020,360,47,0.2,2,0.1,1,0.0,0.3,360,47,0.2,2,0.1,1,0.0,0.3,360,47,0.2,2,0.1,1,0.0,0.3
20-29,29.03.2020,2802,444,2.0,22,1.3,6,0.2,0.2,2802,444,2.0,22,1.3,6,0.2,0.2,2802,444,2.0,22,1.3,6,0.2,0.2
30-39,29.03.2020,5168,1070,4.8,60,3.6,10,0.4,0.2,5168,1070,4.8,60,3.6,10,0.4,0.2,5168,1070,4.8,60,3.6,10,0.4,0.2
40-49,29.03.2020,7731,2204,9.8,134,7.9,35,1.3,0.5,7731,2204,9.8,134,7.9,35,1.3,0.5,7731,2204,9.8,134,7.9,35,1.3,0.5
50-59,29.03.2020,9135,3350,14.9,286,16.9,74,2.7,0.8,9135,3350,14.9,286,16.9,74,2.7,0.8,9135,3350,14.9,286,16.9,74,2.7,0.8
60-69,29.03.2020,8495,4459,19.9,519,30.7,225,8.2,2.6,8495,4459,19.9,519,30.7,225,8.2,2.6,8495,4459,19.9,519,30.7,225,8.2,2.6
70-79,29.03.2020,8416,5729,25.5,597,35.4,749,27.4,8.9,8416,5729,25.5,597,35.4,749,27.4,8.9,8416,5729,25.5,597,35.4,749,27.4,8.9
80-89,29.03.2020,6117,4054,18.1,62,3.7,1195,43.7,19.5,6117,4054,18.1,62,3.7,1195,43.7,19.5,6117,4054,18.1,62,3.7,1195,43.7,19.5
90+,29.03.2020,1804,1014,4.5,3,0.2,438,16.0,24.3,1804,1014,4.5,3,0.2,438,16.0,24.3,1804,1014,4.5,3,0.2,438,16.0,24.3
