age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,01.05.2020,696,234,0.3,31,0.4,2,0.0,0.3,696,234,0.3,31,0.4,2,0.0,0.3,696,234,0.3,31,0.4,2,0.0,0.3
10-19,01.05.2020,1269,239,0.3,18,0.2,5,0.0,0.4,1269,239,0.3,18,0.2,5,0.0,0.4,1269,239,0.3,18,0.2,5,0.0,0.4
20-29,01.05.2020,11594,1351,1.6,86,1.2,22,0.1,0.2,11594,1351,1.6,86,1.2,22,0.1,0.2,11594,1351,1.6,86,1.2,22,0.1,0.2
30-39,01.05.2020,19658,3474,4.1,250,3.4,56,0.3,0.3,19658,3474,4.1,250,3.4,56,0.3,0.3,19658,3474,4.1,250,3.4,56,0.3,0.3
40-49,01.05.2020,30707,8148,9.5,701,9.5,174,1.0,0.6,30707,8148,9.5,701,9.5,174,1.0,0.6,30707,8148,9.5,701,9.5,174,1.0,0.6
50-59,01.05.2020,37769,13239,15.5,1453,19.7,525,3.1,1.4,37769,13239,15.5,1453,19.7,525,3.1,1.4,37769,13239,15.5,1453,19.7,525,3.1,1.4
60-69,01.05.2020,31091,16430,19.2,2357,32.0,1459,8.7,4.7,31091,16430,19.2,2357,32.0,1459,8.7,4.7,31091,16430,19.2,2357,32.0,1459,8.7,4.7
70-79,01.05.2020,30111,19766,23.1,2116,28.7,4151,24.9,13.8,30111,19766,23.1,2116,28.7,4151,24.9,13.8,30111,19766,23.1,2116,28.7,4151,24.9,13.8
80-89,01.05.2020,33258,17153,20.1,311,4.2,6927,41.5,20.8,33258,17153,20.1,311,4.2,6927,41.5,20.8,33258,17153,20.1,311,4.2,6927,41.5,20.8
90+,01.05.2020,15456,5435,6.4,43,0.6,3359,20.1,21.7,15456,5435,6.4,43,0.6,3359,20.1,21.7,15456,5435,6.4,43,0.6,3359,20.1,21.7
