age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,28.03.2020,186,49,0.3,1,0.1,0,0.0,0.0,186,49,0.3,1,0.1,0,0.0,0.0,186,49,0.3,1,0.1,0,0.0,0.0
10-19,28.03.2020,317,35,0.2,1,0.1,1,0.1,0.3,317,35,0.2,1,0.1,1,0.1,0.3,317,35,0.2,1,0.1,1,0.1,0.3
20-29,28.03.2020,2088,310,2.1,18,1.3,4,0.3,0.2,2088,310,2.1,18,1.3,4,0.3,0.2,2088,310,2.1,18,1.3,4,0.3,0.2
30-39,28.03.2020,3774,697,4.6,41,3.1,7,0.5,0.2,3774,697,4.6,41,3.1,7,0.5,0.2,3774,697,4.6,41,3.1,7,0.5,0.2
40-49,28.03.2020,5551,1460,9.7,108,8.1,19,1.3,0.3,5551,1460,9.7,108,8.1,19,1.3,0.3,5551,1460,9.7,108,8.1,19,1.3,0.3
50-59,28.03.2020,6424,2201,14.6,227,17.0,37,2.6,0.6,6424,2201,14.6,227,17.0,37,2.6,0.6,6424,2201,14.6,227,17.0,37,2.6,0.6
60-69,28.03.2020,5980,2999,19.9,392,29.3,123,8.5,2.1,5980,2999,19.9,392,29.3,123,8.5,2.1,5980,2999,19.9,392,29.3,123,8.5,2.1
70-79,28.03.2020,5923,3790,25.1,490,36.6,343,23.8,5.8,5923,3790,25.1,490,36.6,343,23.8,5.8,5923,3790,25.1,490,36.6,343,23.8,5.8
80-89,28.03.2020,4497,2791,18.5,56,4.2,642,44.5,14.3,4497,2791,18.5,56,4.2,642,44.5,14.3,4497,2791,18.5,56,4.2,642,44.5,14.3
90+,28.03.2020,1465,766,5.1,5,0.4,266,18.4,18.2,1465,766,5.1,5,0.4,266,18.4,18.2,1465,766,5.1,5,0.4,266,18.4,18.2
