age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,04.05.2020,731,247,0.3,37,0.5,2,0.0,0.3,731,247,0.3,37,0.5,2,0.0,0.3,731,247,0.3,37,0.5,2,0.0,0.3
10-19,04.05.2020,1318,254,0.3,19,0.3,5,0.0,0.4,1318,254,0.3,19,0.3,5,0.0,0.4,1318,254,0.3,19,0.3,5,0.0,0.4
20-29,04.05.2020,12022,1384,1.6,88,1.2,22,0.1,0.2,12022,1384,1.6,88,1.2,22,0.1,0.2,12022,1384,1.6,88,1.2,22,0.1,0.2
30-39,04.05.2020,20312,3578,4.1,256,3.4,57,0.3,0.3,20312,3578,4.1,256,3.4,57,0.3,0.3,20312,3578,4.1,256,3.4,57,0.3,0.3
40-49,04.05.2020,31569,8313,9.5,717,9.5,183,1.1,0.6,31569,8313,9.5,717,9.5,183,1.1,0.6,31569,8313,9.5,717,9.5,183,1.1,0.6
50-59,04.05.2020,38720,13559,15.5,1493,19.8,566,3.3,1.5,38720,13559,15.5,1493,19.8,566,3.3,1.5,38720,13559,15.5,1493,19.8,566,3.3,1.5
60-69,04.05.2020,31767,16728,19.1,2423,32.1,1518,8.8,4.8,31767,16728,19.1,2423,32.1,1518,8.8,4.8,31767,16728,19.1,2423,32.1,1518,8.8,4.8
70-79,04.05.2020,30583,20135,23.0,2166,28.7,4260,24.8,13.9,30583,20135,23.0,2166,28.7,4260,24.8,13.9,30583,20135,23.0,2166,28.7,4260,24.8,13.9
80-89,04.05.2020,33944,17583,20.1,311,4.1,7086,41.3,20.9,33944,17583,20.1,311,4.1,7086,41.3,20.9,33944,17583,20.1,311,4.1,7086,41.3,20.9
90+,04.05.2020,15882,5682,6.5,47,0.6,3479,20.3,21.9,15882,5682,6.5,47,0.6,3479,20.3,21.9,15882,5682,6.5,47,0.6,3479,20.3,21.9
