age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,11.05.2020,829,270,0.3,39,0.5,2,0.0,0.2,829,270,0.3,39,0.5,2,0.0,0.2,829,270,0.3,39,0.5,2,0.0,0.2
10-19,11.05.2020,1545,271,0.3,23,0.3,5,0.0,0.3,1545,271,0.3,23,0.3,5,0.0,0.3,1545,271,0.3,23,0.3,5,0.0,0.3
20-29,11.05.2020,13098,1458,1.6,87,1.1,23,0.1,0.2,13098,1458,1.6,87,1.1,23,0.1,0.2,13098,1458,1.6,87,1.1,23,0.1,0.2
30-39,11.05.2020,22056,3765,4.1,266,3.4,61,0.3,0.3,22056,3765,4.1,266,3.4,61,0.3,0.3,22056,3765,4.1,266,3.4,61,0.3,0.3
40-49,11.05.2020,34233,8634,9.4,735,9.4,197,1.1,0.6,34233,8634,9.4,735,9.4,197,1.1,0.6,34233,8634,9.4,735,9.4,197,1.1,0.6
50-59,11.05.2020,41897,14057,15.4,1540,19.7,605,3.2,1.4,41897,14057,15.4,1540,19.7,605,3.2,1.4,41897,14057,15.4,1540,19.7,605,3.2,1.4
60-69,11.05.2020,33838,17277,18.9,2526,32.3,1654,8.8,4.9,33838,17277,18.9,2526,32.3,1654,8.8,4.9,33838,17277,18.9,2526,32.3,1654,8.8,4.9
70-79,11.05.2020,32189,20829,22.8,2240,28.6,4529,24.2,14.1,32189,20829,22.8,2240,28.6,4529,24.2,14.1,32189,20829,22.8,2240,28.6,4529,24.2,14.1
80-89,11.05.2020,37153,18653,20.4,324,4.1,7688,41.1,20.7,37153,18653,20.4,324,4.1,7688,41.1,20.7,37153,18653,20.4,324,4.1,7688,41.1,20.7
90+,11.05.2020,18115,6208,6.8,48,0.6,3958,21.1,21.8,18115,6208,6.8,48,0.6,3958,21.1,21.8,18115,6208,6.8,48,0.6,3958,21.1,21.8
