age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,08.05.2020,765,253,0.3,36,0.5,2,0.0,0.3,765,253,0.3,36,0.5,2,0.0,0.3,765,253,0.3,36,0.5,2,0.0,0.3
10-19,08.05.2020,1393,255,0.3,20,0.3,5,0.0,0.4,1393,255,0.3,20,0.3,5,0.0,0.4,1393,255,0.3,20,0.3,5,0.0,0.4
20-29,08.05.2020,12326,1399,1.6,87,1.1,21,0.1,0.2,12326,1399,1.6,87,1.1,21,0.1,0.2,12326,1399,1.6,87,1.1,21,0.1,0.2
30-39,08.05.2020,20755,3608,4.1,256,3.4,57,0.3,0.3,20755,3608,4.1,256,3.4,57,0.3,0.3,20755,3608,4.1,256,3.4,57,0.3,0.3
40-49,08.05.2020,32208,8350,9.5,717,9.5,186,1.1,0.6,32208,8350,9.5,717,9.5,186,1.1,0.6,32208,8350,9.5,717,9.5,186,1.1,0.6
50-59,08.05.2020,39355,13594,15.5,1499,19.8,569,3.3,1.4,39355,13594,15.5,1499,19.8,569,3.3,1.4,39355,13594,15.5,1499,19.8,569,3.3,1.4
60-69,08.05.2020,32175,16784,19.1,2423,32.0,1543,8.8,4.8,32175,16784,19.1,2423,32.0,1543,8.8,4.8,32175,16784,19.1,2423,32.0,1543,8.8,4.8
70-79,08.05.2020,30844,20235,23.0,2173,28.7,4325,24.7,14.0,30844,20235,23.0,2173,28.7,4325,24.7,14.0,30844,20235,23.0,2173,28.7,4325,24.7,14.0
80-89,08.05.2020,34409,17739,20.2,315,4.2,7210,41.2,21.0,34409,17739,20.2,315,4.2,7210,41.2,21.0,34409,17739,20.2,315,4.2,7210,41.2,21.0
90+,08.05.2020,16145,5752,6.5,46,0.6,3571,20.4,22.1,16145,5752,6.5,46,0.6,3571,20.4,22.1,16145,5752,6.5,46,0.6,3571,20.4,22.1
