age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,04.04.2020,251,86,0.3,7,0.3,1,0.0,0.4,251,86,0.3,7,0.3,1,0.0,0.4,251,86,0.3,7,0.3,1,0.0,0.4
10-19,04.04.2020,445,78,0.2,3,0.1,1,0.0,0.2,445,78,0.2,3,0.1,1,0.0,0.2,445,78,0.2,3,0.1,1,0.0,0.2
20-29,04.04.2020,3662,557,1.7,30,1.2,6,0.1,0.2,3662,557,1.7,30,1.2,6,0.1,0.2,3662,557,1.7,30,1.2,6,0.1,0.2
30-39,04.04.2020,6997,1411,4.3,89,3.4,19,0.4,0.3,6997,1411,4.3,89,3.4,19,0.4,0.3,6997,1411,4.3,89,3.4,19,0.4,0.3
40-49,04.04.2020,10759,3119,9.5,227,8.8,50,1.1,0.5,10759,3119,9.5,227,8.8,50,1.1,0.5,10759,3119,9.5,227,8.8,50,1.1,0.5
50-59,04.04.2020,12986,4947,15.0,453,17.5,139,3.0,1.1,12986,4947,15.0,453,17.5,139,3.0,1.1,12986,4947,15.0,453,17.5,139,3.0,1.1
60-69,04.04.2020,11927,6720,20.4,823,31.8,401,8.5,3.4,11927,6720,20.4,823,31.8,401,8.5,3.4,11927,6720,20.4,823,31.8,401,8.5,3.4
70-79,04.04.2020,11630,8348,25.3,859,33.2,1283,27.2,11.0,11630,8348,25.3,859,33.2,1283,27.2,11.0,11630,8348,25.3,859,33.2,1283,27.2,11.0
80-89,04.04.2020,9064,6085,18.5,94,3.6,2014,42.8,22.2,9064,6085,18.5,94,3.6,2014,42.8,22.2,9064,6085,18.5,94,3.6,2014,42.8,22.2
90+,04.04.2020,2963,1594,4.8,6,0.2,795,16.9,26.7,2963,1594,4.8,6,0.2,795,16.9,26.7,2963,1594,4.8,6,0.2,795,16.9,26.7
