age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,05.05.2020,730,247,0.3,36,0.5,2,0.0,0.3,730,247,0.3,36,0.5,2,0.0,0.3,730,247,0.3,36,0.5,2,0.0,0.3
10-19,05.05.2020,1316,254,0.3,19,0.3,5,0.0,0.4,1316,254,0.3,19,0.3,5,0.0,0.4,1316,254,0.3,19,0.3,5,0.0,0.4
20-29,05.05.2020,12008,1389,1.6,87,1.2,22,0.1,0.2,12008,1389,1.6,87,1.2,22,0.1,0.2,12008,1389,1.6,87,1.2,22,0.1,0.2
30-39,05.05.2020,20282,3580,4.1,255,3.4,57,0.3,0.3,20282,3580,4.1,255,3.4,57,0.3,0.3,20282,3580,4.1,255,3.4,57,0.3,0.3
40-49,05.05.2020,31489,8311,9.5,716,9.5,183,1.1,0.6,31489,8311,9.5,716,9.5,183,1.1,0.6,31489,8311,9.5,716,9.5,183,1.1,0.6
50-59,05.05.2020,38612,13560,15.5,1495,19.8,567,3.3,1.5,38612,13560,15.5,1495,19.8,567,3.3,1.5,38612,13560,15.5,1495,19.8,567,3.3,1.5
60-69,05.05.2020,31682,16717,19.1,2422,32.1,1521,8.8,4.8,31682,16717,19.1,2422,32.1,1521,8.8,4.8,31682,16717,19.1,2422,32.1,1521,8.8,4.8
70-79,05.05.2020,30517,20128,23.0,2165,28.7,4258,24.8,14.0,30517,20128,23.0,2165,28.7,4258,24.8,14.0,30517,20128,23.0,2165,28.7,4258,24.8,14.0
80-89,05.05.2020,33807,17582,20.1,312,4.1,7089,41.2,21.0,33807,17582,20.1,312,4.1,7089,41.2,21.0,33807,17582,20.1,312,4.1,7089,41.2,21.0
90+,05.05.2020,15814,5691,6.5,46,0.6,3485,20.3,22.0,15814,5691,6.5,46,0.6,3485,20.3,22.0,15814,5691,6.5,46,0.6,3485,20.3,22.0
