age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,14.04.2020,395,151,0.3,20,0.4,1,0.0,0.3,395,151,0.3,20,0.4,1,0.0,0.3,395,151,0.3,20,0.4,1,0.0,0.3
10-19,14.04.2020,650,128,0.2,5,0.1,1,0.0,0.2,650,128,0.2,5,0.1,1,0.0,0.2,650,128,0.2,5,0.1,1,0.0,0.2
20-29,14.04.2020,6148,915,1.6,53,1.1,17,0.2,0.3,6148,915,1.6,53,1.1,17,0.2,0.3,6148,915,1.6,53,1.1,17,0.2,0.3
30-39,14.04.2020,11524,2418,4.2,171,3.5,35,0.4,0.3,11524,2418,4.2,171,3.5,35,0.4,0.3,11524,2418,4.2,171,3.5,35,0.4,0.3
40-49,14.04.2020,18002,5510,9.6,427,8.8,109,1.1,0.6,18002,5510,9.6,427,8.8,109,1.1,0.6,18002,5510,9.6,427,8.8,109,1.1,0.6
50-59,14.04.2020,22390,8946,15.7,941,19.4,284,3.0,1.3,22390,8946,15.7,941,19.4,284,3.0,1.3,22390,8946,15.7,941,19.4,284,3.0,1.3
60-69,14.04.2020,19796,11492,20.1,1560,32.1,880,9.2,4.4,19796,11492,20.1,1560,32.1,880,9.2,4.4,19796,11492,20.1,1560,32.1,880,9.2,4.4
70-79,14.04.2020,18764,13763,24.1,1502,30.9,2625,27.4,14.0,18764,13763,24.1,1502,30.9,2625,27.4,14.0,18764,13763,24.1,1502,30.9,2625,27.4,14.0
80-89,14.04.2020,16556,10817,18.9,160,3.3,3999,41.8,24.2,16556,10817,18.9,160,3.3,3999,41.8,24.2,16556,10817,18.9,160,3.3,3999,41.8,24.2
90+,14.04.2020,6152,2993,5.2,16,0.3,1614,16.9,26.2,6152,2993,5.2,16,0.3,1614,16.9,26.2,6152,2993,5.2,16,0.3,1614,16.9,26.2
