age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,17.04.2020,433,159,0.3,19,0.4,1,0.0,0.2,433,159,0.3,19,0.4,1,0.0,0.2,433,159,0.3,19,0.4,1,0.0,0.2
10-19,17.04.2020,738,150,0.2,8,0.2,2,0.0,0.3,738,150,0.2,8,0.2,2,0.0,0.3,738,150,0.2,8,0.2,2,0.0,0.3
20-29,17.04.2020,6864,972,1.6,54,1.0,20,0.2,0.3,6864,972,1.6,54,1.0,20,0.2,0.3,6864,972,1.6,54,1.0,20,0.2,0.3
30-39,17.04.2020,12671,2532,4.1,178,3.5,37,0.3,0.3,12671,2532,4.1,178,3.5,37,0.3,0.3,12671,2532,4.1,178,3.5,37,0.3,0.3
40-49,17.04.2020,19877,5822,9.5,459,8.9,118,1.1,0.6,19877,5822,9.5,459,8.9,118,1.1,0.6,19877,5822,9.5,459,8.9,118,1.1,0.6
50-59,17.04.2020,24875,9540,15.5,1004,19.5,319,2.9,1.3,24875,9540,15.5,1004,19.5,319,2.9,1.3,24875,9540,15.5,1004,19.5,319,2.9,1.3
60-69,17.04.2020,21601,12214,19.9,1673,32.5,972,8.8,4.5,21601,12214,19.9,1673,32.5,972,8.8,4.5,21601,12214,19.9,1673,32.5,972,8.8,4.5
70-79,17.04.2020,20669,14629,23.8,1567,30.4,2926,26.4,14.2,20669,14629,23.8,1567,30.4,2926,26.4,14.2,20669,14629,23.8,1567,30.4,2926,26.4,14.2
80-89,17.04.2020,19931,11954,19.5,173,3.4,4659,42.1,23.4,19931,11954,19.5,173,3.4,4659,42.1,23.4,19931,11954,19.5,173,3.4,4659,42.1,23.4
90+,17.04.2020,8130,3405,5.5,17,0.3,2012,18.2,24.7,8130,3405,5.5,17,0.3,2012,18.2,24.7,8130,3405,5.5,17,0.3,2012,18.2,24.7
