age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,12.05.2020,858,275,0.3,39,0.5,2,0.0,0.2,858,275,0.3,39,0.5,2,0.0,0.2,858,275,0.3,39,0.5,2,0.0,0.2
10-19,12.05.2020,1591,274,0.3,23,0.3,5,0.0,0.3,1591,274,0.3,23,0.3,5,0.0,0.3,1591,274,0.3,23,0.3,5,0.0,0.3
20-29,12.05.2020,13304,1463,1.6,89,1.1,23,0.1,0.2,13304,1463,1.6,89,1.1,23,0.1,0.2,13304,1463,1.6,89,1.1,23,0.1,0.2
30-39,12.05.2020,22423,3778,4.1,266,3.4,61,0.3,0.3,22423,3778,4.1,266,3.4,61,0.3,0.3,22423,3778,4.1,266,3.4,61,0.3,0.3
40-49,12.05.2020,34793,8663,9.4,738,9.4,198,1.1,0.6,34793,8663,9.4,738,9.4,198,1.1,0.6,34793,8663,9.4,738,9.4,198,1.1,0.6
50-59,12.05.2020,42515,14100,15.4,1547,19.7,607,3.2,1.4,42515,14100,15.4,1547,19.7,607,3.2,1.4,42515,14100,15.4,1547,19.7,607,3.2,1.4
60-69,12.05.2020,34181,17317,18.9,2535,32.3,1669,8.9,4.9,34181,17317,18.9,2535,32.3,1669,8.9,4.9,34181,17317,18.9,2535,32.3,1669,8.9,4.9
70-79,12.05.2020,32323,20875,22.8,2249,28.6,4544,24.1,14.1,32323,20875,22.8,2249,28.6,4544,24.1,14.1,32323,20875,22.8,2249,28.6,4544,24.1,14.1
80-89,12.05.2020,37268,18714,20.4,325,4.1,7728,41.1,20.7,37268,18714,20.4,325,4.1,7728,41.1,20.7,37268,18714,20.4,325,4.1,7728,41.1,20.7
90+,12.05.2020,18142,6228,6.8,48,0.6,3981,21.2,21.9,18142,6228,6.8,48,0.6,3981,21.2,21.9,18142,6228,6.8,48,0.6,3981,21.2,21.9
