age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,01.04.2020,234,74,0.3,4,0.2,1,0.0,0.4,234,74,0.3,4,0.2,1,0.0,0.4,234,74,0.3,4,0.2,1,0.0,0.4
10-19,01.04.2020,398,53,0.2,2,0.1,1,0.0,0.3,398,53,0.2,2,0.1,1,0.0,0.3,398,53,0.2,2,0.1,1,0.0,0.3
20-29,01.04.2020,3039,477,1.9,22,1.2,6,0.2,0.2,3039,477,1.9,22,1.2,6,0.2,0.2,3039,477,1.9,22,1.2,6,0.2,0.2
30-39,01.04.2020,5686,1171,4.6,67,3.5,14,0.4,0.2,5686,1171,4.6,67,3.5,14,0.4,0.2,5686,1171,4.6,67,3.5,14,0.4,0.2
40-49,01.04.2020,8579,2463,9.7,158,8.3,44,1.3,0.5,8579,2463,9.7,158,8.3,44,1.3,0.5,8579,2463,9.7,158,8.3,44,1.3,0.5
50-59,01.04.2020,10206,3795,15.0,318,16.7,101,3.0,1.0,10206,3795,15.0,318,16.7,101,3.0,1.0,10206,3795,15.0,318,16.7,101,3.0,1.0
60-69,01.04.2020,9516,5078,20.0,586,30.7,301,8.9,3.2,9516,5078,20.0,586,30.7,301,8.9,3.2,9516,5078,20.0,586,30.7,301,8.9,3.2
70-79,01.04.2020,9442,6481,25.5,672,35.2,929,27.4,9.8,9442,6481,25.5,672,35.2,929,27.4,9.8,9442,6481,25.5,672,35.2,929,27.4,9.8
80-89,01.04.2020,6950,4623,18.2,75,3.9,1461,43.0,21.0,6950,4623,18.2,75,3.9,1461,43.0,21.0,6950,4623,18.2,75,3.9,1461,43.0,21.0
90+,01.04.2020,2063,1152,4.5,3,0.2,538,15.8,26.1,2063,1152,4.5,3,0.2,538,15.8,26.1,2063,1152,4.5,3,0.2,538,15.8,26.1
