age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,15.04.2020,382,137,0.2,20,0.4,1,0.0,0.3,382,137,0.2,20,0.4,1,0.0,0.3,382,137,0.2,20,0.4,1,0.0,0.3
10-19,15.04.2020,682,132,0.2,6,0.1,1,0.0,0.1,682,132,0.2,6,0.1,1,0.0,0.1,682,132,0.2,6,0.1,1,0.0,0.1
20-29,15.04.2020,6294,917,1.6,53,1.1,17,0.2,0.3,6294,917,1.6,53,1.1,17,0.2,0.3,6294,917,1.6,53,1.1,17,0.2,0.3
30-39,15.04.2020,11752,2416,4.2,169,3.5,35,0.4,0.3,11752,2416,4.2,169,3.5,35,0.4,0.3,11752,2416,4.2,169,3.5,35,0.4,0.3
40-49,15.04.2020,18388,5514,9.7,431,8.9,109,1.1,0.6,18388,5514,9.7,431,8.9,109,1.1,0.6,18388,5514,9.7,431,8.9,109,1.1,0.6
50-59,15.04.2020,22844,8965,15.7,940,19.3,284,3.0,1.2,22844,8965,15.7,940,19.3,284,3.0,1.2,22844,8965,15.7,940,19.3,284,3.0,1.2
60-69,15.04.2020,20137,11508,20.2,1561,32.1,887,9.2,4.4,20137,11508,20.2,1561,32.1,887,9.2,4.4,20137,11508,20.2,1561,32.1,887,9.2,4.4
70-79,15.04.2020,19042,13765,24.1,1500,30.9,2633,27.4,13.8,19042,13765,24.1,1500,30.9,2633,27.4,13.8,19042,13765,24.1,1500,30.9,2633,27.4,13.8
80-89,15.04.2020,16962,10824,19.0,162,3.3,4016,41.8,23.7,16962,10824,19.0,162,3.3,4016,41.8,23.7,16962,10824,19.0,162,3.3,4016,41.8,23.7
90+,15.04.2020,6335,2928,5.1,16,0.3,1622,16.9,25.6,6335,2928,5.1,16,0.3,1622,16.9,25.6,6335,2928,5.1,16,0.3,1622,16.9,25.6
