age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,27.03.2020,181,46,0.3,1,0.1,0,0.0,0.0,181,46,0.3,1,0.1,0,0.0,0.0,181,46,0.3,1,0.1,0,0.0,0.0
10-19,27.03.2020,312,36,0.3,1,0.1,1,0.1,0.3,312,36,0.3,1,0.1,1,0.1,0.3,312,36,0.3,1,0.1,1,0.1,0.3
20-29,27.03.2020,2011,295,2.1,16,1.3,4,0.3,0.2,2011,295,2.1,16,1.3,4,0.3,0.2,2011,295,2.1,16,1.3,4,0.3,0.2
30-39,27.03.2020,3575,655,4.6,41,3.3,7,0.5,0.2,3575,655,4.6,41,3.3,7,0.5,0.2,3575,655,4.6,41,3.3,7,0.5,0.2
40-49,27.03.2020,5242,1348,9.5,99,8.0,19,1.4,0.4,5242,1348,9.5,99,8.0,19,1.4,0.4,5242,1348,9.5,99,8.0,19,1.4,0.4
50-59,27.03.2020,6030,2044,14.4,205,16.6,35,2.6,0.6,6030,2044,14.4,205,16.6,35,2.6,0.6,6030,2044,14.4,205,16.6,35,2.6,0.6
60-69,27.03.2020,5633,2784,19.6,360,29.1,119,8.7,2.1,5633,2784,19.6,360,29.1,119,8.7,2.1,5633,2784,19.6,360,29.1,119,8.7,2.1
70-79,27.03.2020,5620,3575,25.2,454,36.7,319,23.3,5.7,5620,3575,25.2,454,36.7,319,23.3,5.7,5620,3575,25.2,454,36.7,319,23.3,5.7
80-89,27.03.2020,4267,2654,18.7,55,4.4,608,44.5,14.2,4267,2654,18.7,55,4.4,608,44.5,14.2,4267,2654,18.7,55,4.4,608,44.5,14.2
90+,27.03.2020,1378,735,5.2,5,0.4,255,18.7,18.5,1378,735,5.2,5,0.4,255,18.7,18.5,1378,735,5.2,5,0.4,255,18.7,18.5
