age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,25.03.2020,134,40,0.5,1,0.1,0,0.0,0.0,134,40,0.5,1,0.1,0,0.0,0.0,134,40,0.5,1,0.1,0,0.0,0.0
10-19,25.03.2020,230,22,0.3,2,0.3,1,0.1,0.4,230,22,0.3,2,0.3,1,0.1,0.4,230,22,0.3,2,0.3,1,0.1,0.4
20-29,25.03.2020,1422,217,2.6,12,1.5,4,0.4,0.3,1422,217,2.6,12,1.5,4,0.4,0.3,1422,217,2.6,12,1.5,4,0.4,0.3
30-39,25.03.2020,2511,448,5.4,23,2.9,5,0.5,0.2,2511,448,5.4,23,2.9,5,0.5,0.2,2511,448,5.4,23,2.9,5,0.5,0.2
40-49,25.03.2020,3383,840,10.0,59,7.5,10,1.1,0.3,3383,840,10.0,59,7.5,10,1.1,0.3,3383,840,10.0,59,7.5,10,1.1,0.3
50-59,25.03.2020,3698,1170,14.0,133,17.0,22,2.4,0.6,3698,1170,14.0,133,17.0,22,2.4,0.6,3698,1170,14.0,133,17.0,22,2.4,0.6
60-69,25.03.2020,3403,1551,18.6,215,27.5,79,8.6,2.3,3403,1551,18.6,215,27.5,79,8.6,2.3,3403,1551,18.6,215,27.5,79,8.6,2.3
70-79,25.03.2020,3555,2049,24.5,248,31.7,191,20.8,5.4,3555,2049,24.5,248,31.7,191,20.8,5.4,3555,2049,24.5,248,31.7,191,20.8,5.4
80-89,25.03.2020,2736,1590,19.0,70,9.0,428,46.6,15.6,2736,1590,19.0,70,9.0,428,46.6,15.6,2736,1590,19.0,70,9.0,428,46.6,15.6
90+,25.03.2020,800,434,5.2,19,2.4,178,19.4,22.3,800,434,5.2,19,2.4,178,19.4,22.3,800,434,5.2,19,2.4,178,19.4,22.3
