age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,05.04.2020,286,107,0.2,15,0.4,2,0.0,0.7,286,107,0.2,15,0.4,2,0.0,0.7,286,107,0.2,15,0.4,2,0.0,0.7
10-19,05.04.2020,486,99,0.2,4,0.1,1,0.0,0.2,486,99,0.2,4,0.1,1,0.0,0.2,486,99,0.2,4,0.1,1,0.0,0.2
20-29,05.04.2020,4575,750,1.7,43,1.2,9,0.1,0.2,4575,750,1.7,43,1.2,9,0.1,0.2,4575,750,1.7,43,1.2,9,0.1,0.2
30-39,05.04.2020,8663,1942,4.5,125,3.6,25,0.4,0.3,8663,1942,4.5,125,3.6,25,0.4,0.3,8663,1942,4.5,125,3.6,25,0.4,0.3
40-49,05.04.2020,13300,4269,9.8,326,9.4,65,1.0,0.5,13300,4269,9.8,326,9.4,65,1.0,0.5,13300,4269,9.8,326,9.4,65,1.0,0.5
50-59,05.04.2020,16455,6800,15.7,640,18.4,184,2.9,1.1,16455,6800,15.7,640,18.4,184,2.9,1.1,16455,6800,15.7,640,18.4,184,2.9,1.1
60-69,05.04.2020,14847,8833,20.4,1089,31.4,571,9.0,3.8,14847,8833,20.4,1089,31.4,571,9.0,3.8,14847,8833,20.4,1089,31.4,571,9.0,3.8
70-79,05.04.2020,14217,10796,24.9,1106,31.8,1808,28.6,12.7,14217,10796,24.9,1106,31.8,1808,28.6,12.7,14217,10796,24.9,1106,31.8,1808,28.6,12.7
80-89,05.04.2020,11119,7807,18.0,113,3.3,2690,42.5,24.2,11119,7807,18.0,113,3.3,2690,42.5,24.2,11119,7807,18.0,113,3.3,2690,42.5,24.2
90+,05.04.2020,3589,1968,4.5,12,0.3,976,15.4,27.2,3589,1968,4.5,12,0.3,976,15.4,27.2,3589,1968,4.5,12,0.3,976,15.4,27.2
