age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,08.04.2020,287,81,0.2,6,0.1,1,0.0,0.3,287,81,0.2,6,0.1,1,0.0,0.3,287,81,0.2,6,0.1,1,0.0,0.3
10-19,08.04.2020,553,111,0.2,5,0.1,1,0.0,0.2,553,111,0.2,5,0.1,1,0.0,0.2,553,111,0.2,5,0.1,1,0.0,0.2
20-29,08.04.2020,5113,804,1.6,50,1.2,9,0.2,0.2,5113,804,1.6,50,1.2,9,0.2,0.2,5113,804,1.6,50,1.2,9,0.2,0.2
30-39,08.04.2020,9819,2129,4.4,143,3.6,23,0.4,0.2,9819,2129,4.4,143,3.6,23,0.4,0.2,9819,2129,4.4,143,3.6,23,0.4,0.2
40-49,08.04.2020,15256,4749,9.7,369,9.2,53,0.9,0.3,15256,4749,9.7,369,9.2,53,0.9,0.3,15256,4749,9.7,369,9.2,53,0.9,0.3
50-59,08.04.2020,18790,7666,15.7,764,19.0,186,3.2,1.0,18790,7666,15.7,764,19.0,186,3.2,1.0,18790,7666,15.7,764,19.0,186,3.2,1.0
60-69,08.04.2020,16973,10020,20.5,1276,31.8,527,8.9,3.1,16973,10020,20.5,1276,31.8,527,8.9,3.1,16973,10020,20.5,1276,31.8,527,8.9,3.1
70-79,08.04.2020,16257,12157,24.9,1263,31.5,1603,27.2,9.9,16257,12157,24.9,1263,31.5,1603,27.2,9.9,16257,12157,24.9,1263,31.5,1603,27.2,9.9
80-89,08.04.2020,13068,8911,18.2,126,3.1,2515,42.6,19.2,13068,8911,18.2,126,3.1,2515,42.6,19.2,13068,8911,18.2,126,3.1,2515,42.6,19.2
90+,08.04.2020,4339,2236,4.6,12,0.3,986,16.7,22.7,4339,2236,4.6,12,0.3,986,16.7,22.7,4339,2236,4.6,12,0.3,986,16.7,22.7
